nodes;program;c.domain;adv.model;protocol;partysize;cpus;freqs(GHz);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;3;2;0.0404645;NA;NA;1.71366;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;3;3;0.0730435;NA;NA;3.85574;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;3;4;0.119255;NA;NA;6.85466;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;3;5;0.180902;NA;NA;10.7104;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;3;6;0.248644;NA;NA;15.423;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;3;7;0.336219;NA;NA;20.9924;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;3;8;0.433872;NA;NA;27.4186;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;3;9;0.54303;NA;NA;34.7017;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;3;10;0.670223;NA;NA;42.8416;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;3;11;0.807434;NA;NA;51.8383;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;3;12;0.957809;NA;NA;61.6919;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;2.2;2;0.0392141;NA;NA;1.71366;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;2.2;3;0.07316;NA;NA;3.85574;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;2.2;4;0.119474;NA;NA;6.85466;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;2.2;5;0.179372;NA;NA;10.7104;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semidishonest;yao;2;8;2.2;6;0.250142;NA;NA;15.423;NA
