comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;optshare;packbool;protocol;bandwidths(Mbs);input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
3.10;235;1;256;1;0;1;9000;8192;0;0;0.013680;NA;0.131966;0.129200;0.129199;0.23;130;98
3.10;234;1;256;1;0;1;9000;8192;0;1;.003358;NA;.029034;.093603;.093603;3.10;234;99
3.09;235;1;256;1;0;1;8000;8192;0;0;0.013779;NA;0.138724;0.131769;0.131769;0.23;131;102
3.11;234;1;256;1;0;1;8000;8192;0;1;.003542;NA;.027381;.100728;.100727;3.11;234;99
3.10;234;1;256;1;0;1;7000;8192;0;0;0.013800;NA;0.128030;0.128703;0.128702;0.23;130;100
3.11;235;1;256;1;0;1;7000;8192;0;1;.003456;NA;.026949;.107311;.107311;3.11;235;99
3.10;235;1;256;1;0;1;6000;8192;0;0;0.013587;NA;0.132448;0.138930;0.138929;0.24;131;95
3.10;235;1;256;1;0;1;6000;8192;0;1;.003411;NA;.029035;.092277;.092276;3.10;235;99
3.12;234;1;256;1;0;1;5000;8192;0;0;0.013488;NA;0.126728;0.132122;0.132120;0.23;130;96
3.10;235;1;256;1;0;1;5000;8192;0;1;.003147;NA;.026874;.113760;.113759;3.10;235;99
3.09;233;1;256;1;0;1;4000;8192;0;0;0.013654;NA;0.139819;0.133684;0.133683;0.23;130;101
3.11;233;1;256;1;0;1;4000;8192;0;1;.003436;NA;.025217;.126648;.126648;3.11;233;99
3.09;233;1;256;1;0;1;3000;8192;0;0;0.013635;NA;0.131668;0.142145;0.142144;0.24;131;94
3.10;237;1;256;1;0;1;3000;8192;0;1;.003514;NA;.028209;.122301;.122300;3.10;237;99
3.10;234;1;256;1;0;1;2000;8192;0;0;0.013169;NA;0.132877;0.157081;0.157080;0.25;130;90
3.09;234;1;256;1;0;1;2000;8192;0;1;.003173;NA;.028513;.119325;.119325;3.09;234;100
3.09;234;1;256;1;0;1;1000;8192;0;0;0.013289;NA;0.140754;0.211192;0.211191;0.31;130;75
3.09;235;1;256;1;0;1;1000;8192;0;1;.003761;NA;.031572;.158577;.158577;3.09;235;100
3.09;234;1;256;1;0;1;500;8192;0;0;0.013509;NA;0.152366;0.350635;0.350634;0.46;130;56
3.10;233;1;256;1;0;1;500;8192;0;1;.003781;NA;.036113;.304775;.304775;3.10;233;99
3.05;233;1;256;1;0;2;9000;8192;0;0;0.025876;NA;0.129783;0.204292;0.204291;0.31;147;76
3.06;233;1;256;1;0;2;9000;8192;0;1;.005910;NA;.021362;.071346;.071346;3.06;233;100
3.05;234;1;256;1;0;2;8000;8192;0;0;0.025372;NA;0.121679;0.214191;0.214189;0.32;147;71
3.06;239;1;256;1;0;2;8000;8192;0;1;.005118;NA;.025757;.067116;.067116;3.06;239;100
3.05;236;1;256;1;0;2;7000;8192;0;0;0.026205;NA;0.126286;0.202565;0.202564;0.31;147;76
3.06;233;1;256;1;0;2;7000;8192;0;1;.006167;NA;.025470;.066683;.066683;3.06;233;100
3.04;233;1;256;1;0;2;6000;8192;0;0;0.025895;NA;0.128289;0.207543;0.207542;0.31;147;74
3.04;233;1;256;1;0;2;6000;8192;0;1;.005565;NA;.024343;.066252;.066252;3.04;233;100
3.06;234;1;256;1;0;2;5000;8192;0;0;0.026108;NA;0.127510;0.205163;0.205163;0.31;147;75
3.05;234;1;256;1;0;2;5000;8192;0;1;.005516;NA;.023124;.062023;.062023;3.05;234;99
3.05;238;1;256;1;0;2;4000;8192;0;0;0.026104;NA;0.128875;0.212872;0.212871;0.32;147;74
3.04;234;1;256;1;0;2;4000;8192;0;1;.004986;NA;.024199;.064327;.064327;3.04;234;99
3.04;234;1;256;1;0;2;3000;8192;0;0;0.026278;NA;0.130247;0.220252;0.220251;0.33;147;73
3.04;233;1;256;1;0;2;3000;8192;0;1;.005048;NA;.026238;.100696;.100695;3.04;233;100
3.05;234;1;256;1;0;2;2000;8192;0;0;0.025457;NA;0.132645;0.252687;0.252686;0.36;147;66
3.05;234;1;256;1;0;2;2000;8192;0;1;.005259;NA;.023612;.088872;.088871;3.05;234;100
3.05;233;1;256;1;0;2;1000;8192;0;0;0.025989;NA;0.137422;0.364126;0.364125;0.48;147;52
3.05;234;1;256;1;0;2;1000;8192;0;1;.005260;NA;.025944;.143227;.143227;3.05;234;99
3.05;233;1;256;1;0;2;500;8192;0;0;0.025827;NA;0.141517;0.637408;0.637407;0.75;147;34
3.05;234;1;256;1;0;2;500;8192;0;1;.004963;NA;.028191;.256945;.256945;3.05;234;100
2.97;233;1;256;1;0;3;9000;8192;0;0;0.024095;NA;0.069031;0.238382;0.238381;0.35;99;50
2.99;233;1;256;1;0;3;9000;8192;0;1;.005940;NA;.017829;.048920;.048919;2.99;233;100
3.00;233;1;256;1;0;3;8000;8192;0;0;0.024091;NA;0.068337;0.238111;0.238110;0.35;99;51
2.99;232;1;256;1;0;3;8000;8192;0;1;.007149;NA;.019047;.064954;.064954;2.99;232;100
2.98;232;1;256;1;0;3;7000;8192;0;0;0.024386;NA;0.067090;0.238017;0.238016;0.34;99;49
2.99;233;1;256;1;0;3;7000;8192;0;1;.007062;NA;.018786;.056143;.056143;2.99;233;100
2.99;232;1;256;1;0;3;6000;8192;0;0;0.024102;NA;0.066283;0.251056;0.251055;0.36;99;48
2.99;232;1;256;1;0;3;6000;8192;0;1;.006339;NA;.020867;.059224;.059224;2.99;232;99
2.98;232;1;256;1;0;3;5000;8192;0;0;0.024536;NA;0.067770;0.255681;0.255680;0.36;99;48
2.99;233;1;256;1;0;3;5000;8192;0;1;.006504;NA;.018158;.066374;.066374;2.99;233;100
2.98;232;1;256;1;0;3;4000;8192;0;0;0.024035;NA;0.067444;0.240386;0.240385;0.36;99;50
2.98;231;1;256;1;0;3;4000;8192;0;1;.006245;NA;.021404;.067391;.067391;2.98;231;99
2.97;233;1;256;1;0;3;3000;8192;0;0;0.024427;NA;0.067811;0.256049;0.256048;0.36;99;48
2.98;232;1;256;1;0;3;3000;8192;0;1;.007319;NA;.019026;.064412;.064412;2.98;232;99
2.98;231;1;256;1;0;3;2000;8192;0;0;0.024183;NA;0.069610;0.289999;0.289998;0.40;99;44
2.99;232;1;256;1;0;3;2000;8192;0;1;.006000;NA;.020135;.073922;.073922;2.99;232;99
2.98;231;1;256;1;0;3;1000;8192;0;0;0.029525;NA;0.070319;0.435433;0.435432;0.55;99;33
2.98;232;1;256;1;0;3;1000;8192;0;1;.006128;NA;.020234;.101693;.101693;2.98;232;99
3.00;232;1;256;1;0;3;500;8192;0;0;0.024244;NA;0.073235;0.781303;0.781302;0.90;101;20
2.98;232;1;256;1;0;3;500;8192;0;1;.006176;NA;.023240;.200476;.200476;2.98;232;99
2.97;232;1;256;1;0;4;9000;8192;0;0;0.022731;NA;0.068579;0.190881;0.190880;0.30;99;58
2.98;232;1;256;1;0;4;9000;8192;0;1;.007039;NA;.015925;.059045;.059044;2.98;232;100
2.97;231;1;256;1;0;4;8000;8192;0;0;0.022778;NA;0.066049;0.188211;0.188210;0.29;99;58
2.97;232;1;256;1;0;4;8000;8192;0;1;.005993;NA;.017365;.059610;.059610;2.97;232;100
2.97;232;1;256;1;0;4;7000;8192;0;0;0.022814;NA;0.068244;0.200695;0.200695;0.30;99;57
2.97;231;1;256;1;0;4;7000;8192;0;1;.005877;NA;.017243;.051794;.051794;2.97;231;99
2.99;232;1;256;1;0;4;6000;8192;0;0;0.022717;NA;0.068282;0.205887;0.205887;0.32;99;55
2.98;232;1;256;1;0;4;6000;8192;0;1;.006694;NA;.017314;.063449;.063449;2.98;232;99
2.98;231;1;256;1;0;4;5000;8192;0;0;0.022402;NA;0.067087;0.186475;0.186474;0.30;99;57
2.97;233;1;256;1;0;4;5000;8192;0;1;.006974;NA;.016062;.060633;.060632;2.97;233;100
2.96;231;1;256;1;0;4;4000;8192;0;0;0.022903;NA;0.068199;0.204982;0.204981;0.31;99;56
2.98;232;1;256;1;0;4;4000;8192;0;1;.005951;NA;.016123;.066694;.066694;2.98;232;99
2.98;232;1;256;1;0;4;3000;8192;0;0;0.022326;NA;0.066878;0.201115;0.201114;0.32;99;55
2.96;231;1;256;1;0;4;3000;8192;0;1;.005981;NA;.016299;.064744;.064744;2.96;231;99
3.00;232;1;256;1;0;4;2000;8192;0;0;0.022836;NA;0.065335;0.230082;0.230081;0.34;99;51
2.98;231;1;256;1;0;4;2000;8192;0;1;.006324;NA;.018183;.069352;.069352;2.98;231;100
2.98;233;1;256;1;0;4;1000;8192;0;0;0.022601;NA;0.067171;0.351134;0.351133;0.46;99;38
2.99;232;1;256;1;0;4;1000;8192;0;1;.006077;NA;.017466;.123038;.123037;2.99;232;99
2.97;233;1;256;1;0;4;500;8192;0;0;0.022813;NA;0.065972;0.628700;0.628699;0.73;99;23
2.98;232;1;256;1;0;4;500;8192;0;1;.006177;NA;.020767;.202283;.202282;2.98;232;99
2.99;233;1;256;1;0;5;9000;8192;0;0;0.023768;NA;0.080100;0.234058;0.234057;0.34;115;53
3.00;232;1;256;1;0;5;9000;8192;0;1;.006195;NA;.018944;.059770;.059770;3.00;232;99
3.01;233;1;256;1;0;5;8000;8192;0;0;0.024204;NA;0.079751;0.248451;0.248450;0.35;115;51
3.00;233;1;256;1;0;5;8000;8192;0;1;.006023;NA;.019962;.062517;.062517;3.00;233;100
3.00;233;1;256;1;0;5;7000;8192;0;0;0.024301;NA;0.081562;0.231099;0.231098;0.34;115;56
3.00;233;1;256;1;0;5;7000;8192;0;1;.005978;NA;.018425;.055039;.055038;3.00;233;99
2.99;233;1;256;1;0;5;6000;8192;0;0;0.023911;NA;0.079986;0.228322;0.228321;0.34;115;54
3.00;232;1;256;1;0;5;6000;8192;0;1;.006246;NA;.018382;.065698;.065697;3.00;232;99
3.00;231;1;256;1;0;5;5000;8192;0;0;0.024345;NA;0.080090;0.234659;0.234658;0.35;115;54
3.00;232;1;256;1;0;5;5000;8192;0;1;.007152;NA;.019005;.076924;.076924;3.00;232;99
3.01;235;1;256;1;0;5;4000;8192;0;0;0.024425;NA;0.079564;0.247784;0.247783;0.35;117;52
3.00;237;1;256;1;0;5;4000;8192;0;1;.006296;NA;.018024;.062338;.062338;3.00;237;99
3.00;232;1;256;1;0;5;3000;8192;0;0;0.024504;NA;0.080661;0.256021;0.256020;0.36;115;51
3.01;233;1;256;1;0;5;3000;8192;0;1;.006423;NA;.019607;.060712;.060712;3.01;233;100
3.00;233;1;256;1;0;5;2000;8192;0;0;0.024479;NA;0.080246;0.269721;0.269720;0.38;115;50
2.99;232;1;256;1;0;5;2000;8192;0;1;.006552;NA;.019801;.081263;.081263;2.99;232;99
2.99;232;1;256;1;0;5;1000;8192;0;0;0.024270;NA;0.081544;0.427407;0.427406;0.54;115;35
2.99;232;1;256;1;0;5;1000;8192;0;1;.005444;NA;.022312;.115400;.115399;2.99;232;100
3.00;232;1;256;1;0;5;500;8192;0;0;0.024365;NA;0.080373;0.774673;0.774672;0.88;115;21
2.99;232;1;256;1;0;5;500;8192;0;1;.005927;NA;.023940;.205584;.205584;2.99;232;100
2.97;232;1;256;1;0;6;9000;8192;0;0;0.011822;NA;0.036158;0.103605;0.103604;0.20;83;66
2.97;232;1;256;1;0;6;9000;8192;0;1;.003037;NA;.007866;.016152;.016151;2.97;232;99
2.96;231;1;256;1;0;6;8000;8192;0;0;0.012031;NA;0.036064;0.088124;0.088123;0.18;83;70
2.96;233;1;256;1;0;6;8000;8192;0;1;.002976;NA;.006690;.016025;.016024;2.96;233;100
2.96;233;1;256;1;0;6;7000;8192;0;0;0.012051;NA;0.036730;0.097271;0.097271;0.19;85;68
2.97;233;1;256;1;0;6;7000;8192;0;1;.003003;NA;.005809;.015241;.015241;2.97;233;100
2.96;232;1;256;1;0;6;6000;8192;0;0;0.011991;NA;0.036328;0.099711;0.099710;0.19;83;66
3.02;231;1;256;1;0;6;6000;8192;0;1;.003455;NA;.006386;.014717;.014717;3.02;231;99
2.96;232;1;256;1;0;6;5000;8192;0;0;0.011852;NA;0.036280;0.102460;0.102459;0.20;83;66
2.98;237;1;256;1;0;6;5000;8192;0;1;.002610;NA;.008902;.016124;.016123;2.98;237;99
2.97;232;1;256;1;0;6;4000;8192;0;0;0.011939;NA;0.036333;0.110471;0.110470;0.21;83;63
2.98;231;1;256;1;0;6;4000;8192;0;1;.003168;NA;.006350;.016252;.016252;2.98;231;99
2.97;233;1;256;1;0;6;3000;8192;0;0;0.011859;NA;0.033884;0.112017;0.112016;0.20;83;60
2.98;232;1;256;1;0;6;3000;8192;0;1;.002902;NA;.006012;.016796;.016796;2.98;232;99
2.97;232;1;256;1;0;6;2000;8192;0;0;0.011865;NA;0.035899;0.119882;0.119881;0.22;83;59
2.95;232;1;256;1;0;6;2000;8192;0;1;.002854;NA;.007154;.019986;.019986;2.95;232;100
2.96;232;1;256;1;0;6;1000;8192;0;0;0.011694;NA;0.035331;0.176041;0.176040;0.27;83;47
2.98;232;1;256;1;0;6;1000;8192;0;1;.003204;NA;.006282;.030263;.030263;2.98;232;99
2.97;232;1;256;1;0;6;500;8192;0;0;0.011969;NA;0.036719;0.315948;0.315947;0.41;83;31
2.97;233;1;256;1;0;6;500;8192;0;1;.003370;NA;.006679;.053559;.053559;2.97;233;100
