program  c.domain  adv.model      protocol           partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
34       FIELD     maldishonest   mascot             3          0.45          29                 1                  0              30          2.37122              2.45                 383           105        ~14549        176.536         529.309
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 5              30          40.718               41.00                387           9          ~14549        176.536         529.309
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 10             30          78.0076              78.47                379           5          ~14549        176.536         529.309
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 15             30          114.932              115.59               384           4          ~14549        176.536         529.309
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 20             30          152.213              153.04               380           4          ~14549        176.536         529.309
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 25             30          189.25               190.25               380           3          ~14549        176.536         529.309
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 30             30          226.176              227.34               378           3          ~14549        176.536         529.309
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 35             30          263.311              264.66               379           3          ~14549        176.536         529.309
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 40             30          300.323              301.84               386           3          ~14549        176.536         529.309
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 45             30          337.482              339.17               380           3          ~14549        176.536         529.309
34       FIELD     maldishonest   mascot             3          NA            NA                 NA                 50             30          374.59               376.45               379           2          ~14549        176.536         529.309
34       FIELD     semidishonest  hemi               3          0.45          29                 1                  0              30          0.783785             0.87                 45            58         ~14403        3.34788         9.84204
34       FIELD     semidishonest  hemi               3          NA            NA                 NA                 5              30          38.6143              38.87                43            3          ~14403        3.34788         9.84204
34       FIELD     semidishonest  hemi               3          NA            NA                 NA                 10             30          74.8992              75.34                45            1          ~14403        3.34788         9.84204
34       FIELD     semidishonest  hemi               3          NA            NA                 NA                 15             30          111.074              111.72               43            1          ~14403        3.34788         9.84204
34       FIELD     semidishonest  hemi               3          NA            NA                 NA                 20             30          147.219              148.04               45            1          ~14403        3.34788         9.84204
34       FIELD     semidishonest  hemi               3          NA            NA                 NA                 25             30          183.315              184.33               43            1          ~14403        3.34788         9.84204
34       FIELD     semidishonest  hemi               3          NA            NA                 NA                 30             30          219.658              220.84               45            1          ~14403        3.34788         9.84204
34       FIELD     semidishonest  hemi               3          NA            NA                 NA                 35             30          255.823              257.20               45            0          ~14403        3.34788         9.84204
34       FIELD     semidishonest  hemi               3          NA            NA                 NA                 40             30          292.097              293.65               45            0          ~14403        3.34788         9.84204
34       FIELD     semidishonest  hemi               3          NA            NA                 NA                 45             30          328.094              329.85               45            0          ~14403        3.34788         9.84204
34       FIELD     semidishonest  hemi               3          NA            NA                 NA                 50             30          364.275              366.17               45            0          ~14403        3.34788         9.84204
34       FIELD     semidishonest  semi               3          0.45          29                 1                  0              30          0.940713             1.01                 62            53         ~14412        24.8022         74.2049
34       FIELD     semidishonest  semi               3          NA            NA                 NA                 5              30          38.4882              38.69                62            2          ~14412        24.8022         74.2049
