comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  datatype  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.54          228                1                  1    512       1         0         4         512         0           0           0.000220     NA          0.007893          0.013663            0.013662           0.03                 17            90
0.01          3                  1                  1    512       1         0         4         512         0           1           .000041      NA          .001802           .002576             .002576            0.05                 21            344
1.43          227                1                  1    512       1         0         4         1024        0           0           0.000424     NA          0.018300          0.025308            0.025307           0.04                 27            92
0.01          3                  1                  1    512       1         0         4         1024        0           1           .000080      NA          .003545           .004297             .004297            0.05                 35            489
1.73          227                1                  1    512       1         0         4         5120        0           0           0.001967     NA          0.076946          0.116021            0.116020           0.15                 106           78
0.01          3                  1                  1    512       1         0         4         5120        0           1           .000325      NA          .017862           .020726             .020726            0.18                 146           516
1.71          228                1                  1    512       1         0         5         512         0           0           0.000229     NA          0.008465          0.017758            0.017757           0.03                 19            64
0.01          3                  1                  1    512       1         0         5         512         0           1           .000040      NA          .001778           .002171             .002171            0.03                 21            524
1.54          227                1                  1    512       1         0         5         1024        0           0           0.000466     NA          0.019835          0.031857            0.031856           0.05                 31            78
0.01          3                  1                  1    512       1         0         5         1024        0           1           .000077      NA          .003058           .004105             .004105            0.05                 36            427
1.58          228                1                  1    512       1         0         5         5120        0           0           0.002222     NA          0.066959          0.132083            0.132082           0.17                 127           64
0.01          3                  1                  1    512       1         0         5         5120        0           1           .000319      NA          .019003           .021512             .021512            0.19                 146           518
1.52          227                1                  1    512       1         0         6         512         0           0           0.000148     NA          0.007036          0.006017            0.006016           0.02                 15            108
0.01          3                  1                  1    512       1         0         6         512         0           1           .000011      NA          .000773           .001087             .001087            0.02                 15            465
1.71          227                1                  1    512       1         0         6         1024        0           0           0.000252     NA          0.012998          0.010528            0.010527           0.03                 23            120
0.01          3                  1                  1    512       1         0         6         1024        0           1           .000025      NA          .001555           .001878             .001878            0.03                 23            500
1.39          227                1                  1    512       1         0         6         5120        0           0           0.001266     NA          0.058202          0.049618            0.049617           0.09                 87            108
0.01          3                  1                  1    512       1         0         6         5120        0           1           .000107      NA          .006998           .008276             .008276            0.10                 87            516
