nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;input_size;runtime(s);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
bitcoin,bitcoincash,bitcoingold;36_array_ops;FIELD;semihonest;shamir;NA;NA;2;16;0.00166174;~3;0.000512;0.001152
bitcoin,bitcoincash,bitcoingold;36_array_ops;FIELD;semihonest;shamir;NA;NA;2;36;0.00214338;~3;0.001152;0.002592
bitcoin,bitcoincash,bitcoingold;36_array_ops;FIELD;semihonest;shamir;NA;NA;2;56;0.00185171;~3;0.001792;0.004032
bitcoin,bitcoincash,bitcoingold;36_array_ops;FIELD;semihonest;shamir;NA;NA;2;76;0.00211111;~3;0.002432;0.005472
bitcoin,bitcoincash,bitcoingold;36_array_ops;FIELD;semihonest;shamir;NA;NA;2;96;0.00232847;~3;0.003072;0.006912
bitcoin,bitcoincash,bitcoingold;36_array_ops;FIELD;semihonest;shamir;NA;NA;2;100;0.00224618;~3;0.0032;0.0072
bitcoin,bitcoincash,bitcoingold;36_array_ops;FIELD;semihonest;replicated-field;NA;NA;2;16;0.00144531;~2;0.000256;0.000768
bitcoin,bitcoincash,bitcoingold;36_array_ops;FIELD;semihonest;replicated-field;NA;NA;2;36;0.00137322;~2;0.000576;0.001728
bitcoin,bitcoincash,bitcoingold;36_array_ops;FIELD;semihonest;replicated-field;NA;NA;2;56;0.00108135;~2;0.000896;0.002688
bitcoin,bitcoincash,bitcoingold;36_array_ops;FIELD;semihonest;replicated-field;NA;NA;2;76;0.00210599;~2;0.001216;0.003648
bitcoin,bitcoincash,bitcoingold;36_array_ops;FIELD;semihonest;replicated-field;NA;NA;2;96;0.00171679;~2;0.001536;0.004608
bitcoin,bitcoincash,bitcoingold;36_array_ops;FIELD;semihonest;replicated-field;NA;NA;2;100;0.00165871;~2;0.0016;0.0048
bitcoin,bitcoincash,bitcoingold;36_array_ops;RING;semihonest;replicated-ring;NA;NA;2;16;0.00129494;~2;0.000256;0.000768
bitcoin,bitcoincash,bitcoingold;36_array_ops;RING;semihonest;replicated-ring;NA;NA;2;36;0.00152714;~2;0.000576;0.001728
bitcoin,bitcoincash,bitcoingold;36_array_ops;RING;semihonest;replicated-ring;NA;NA;2;56;0.00128171;~2;0.000896;0.002688
bitcoin,bitcoincash,bitcoingold;36_array_ops;RING;semihonest;replicated-ring;NA;NA;2;76;0.00111883;~2;0.001216;0.003648
bitcoin,bitcoincash,bitcoingold;36_array_ops;RING;semihonest;replicated-ring;NA;NA;2;96;0.00160292;~2;0.001536;0.004608
bitcoin,bitcoincash,bitcoingold;36_array_ops;RING;semihonest;replicated-ring;NA;NA;2;100;0.00210483;~2;0.0016;0.0048
bitcoin,bitcoincash,bitcoingold;36_array_ops;BINARY;semihonest;replicated-bin;NA;4416;90;16;0.00622834;NA;0.004968;NA
bitcoin,bitcoincash,bitcoingold;36_array_ops;BINARY;semihonest;replicated-bin;NA;9936;90;36;0.00872795;NA;0.011108;NA
bitcoin,bitcoincash,bitcoingold;36_array_ops;BINARY;semihonest;replicated-bin;NA;15456;90;56;0.0105014;NA;0.017248;NA
bitcoin,bitcoincash,bitcoingold;36_array_ops;BINARY;semihonest;replicated-bin;NA;20976;90;76;0.0147875;NA;0.023388;NA
bitcoin,bitcoincash,bitcoingold;36_array_ops;BINARY;semihonest;replicated-bin;NA;26496;90;96;0.0140055;NA;0.029528;NA
bitcoin,bitcoincash,bitcoingold;36_array_ops;BINARY;semihonest;replicated-bin;NA;27600;90;100;0.0162204;NA;0.030756;NA
