nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;bandwidths(Mbs);input_size;runtime(s);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-shamir;190320;117120;14671;100;30;5.49227;~14928;61.6396;185.239
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-shamir;NA;NA;NA;95;30;5.61881;~14928;61.6396;185.239
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-shamir;NA;NA;NA;90;30;5.71324;~14928;61.6396;185.239
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-rep-field;190320;117120;14671;100;30;4.01455;~14873;21.2236;63.8308
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-rep-field;NA;NA;NA;95;30;4.09614;~14873;21.2236;63.8308
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;malicious-rep-field;NA;NA;NA;90;30;4.13134;~14873;21.2236;63.8308
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;190320;117120;14671;100;30;3.96229;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;NA;NA;NA;95;30;4.03954;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;ps-rep-field;NA;NA;NA;90;30;4.07828;~14873;17.3375;52.1725
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;sy-rep-field;190320;117120;14671;100;30;5.45943;~15046;18.6704;56.1713
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;sy-rep-field;NA;NA;NA;95;30;5.62001;~15046;18.6704;56.1713
rapla,tapa,valga;35_set_intersection;FIELD;malhonest;sy-rep-field;NA;NA;NA;90;30;5.61119;~15046;18.6704;56.1713
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;shamir;190320;117120;14671;100;30;3.34776;~16571;14.3683;43.3357
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;shamir;NA;NA;NA;95;30;3.36048;~16571;14.3683;43.3357
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;shamir;NA;NA;NA;90;30;3.32134;~16571;14.3683;43.3357
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;atlas;190320;117120;14671;100;30;6.56778;~29636;38.4537;94.9519
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;atlas;NA;NA;NA;95;30;6.91264;~29636;38.4537;94.9519
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;atlas;NA;NA;NA;90;30;6.93602;~29636;38.4537;94.9519
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;190320;117120;14671;100;30;2.6443;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;NA;NA;NA;95;30;2.70468;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;semihonest;replicated-field;NA;NA;NA;90;30;2.68741;~14711;7.18416;21.7125
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;lowgear;190320;117120;14671;100;30;3357.75;~66139;788.289;2314.42
rapla,tapa,valga;35_set_intersection;FIELD;maldishonest;lowgear;NA;NA;NA;95;30;158.499;~66139;788.289;2314.42
