nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;cpus;freqs(GHz);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;10;8;3;3;0.845857;258;~105;41.0159;123.047
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;37;8;3;6;0.841888;258;~215;41.0174;123.051
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;82;8;3;9;0.851806;258;~395;41.0203;123.058
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;145;8;3;12;0.855062;259;~647;41.0244;123.068
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;226;8;3;15;0.862212;259;~971;41.0295;123.081
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;325;8;3;18;0.867497;259;~1367;41.0359;123.097
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;442;8;3;21;0.880065;259;~1835;41.0434;123.116
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;577;8;3;24;0.88864;259;~2375;41.052;123.137
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;730;8;3;27;0.903535;258;~2987;41.0618;123.162
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;901;8;3;30;0.915958;260;~3671;41.0727;123.189
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;1090;8;3;33;0.928756;260;~4427;41.0848;123.22
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;2.2;3;0.843941;256;~105;41.0159;123.047
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;2.2;6;0.846774;256;~215;41.0174;123.051
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;2.2;9;0.844818;258;~395;41.0203;123.058
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;2.2;12;0.877784;259;~647;41.0244;123.068
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;2.2;15;0.862093;257;~971;41.0295;123.081
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;2.2;18;0.869087;259;~1367;41.0359;123.097
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;2.2;21;0.875502;259;~1835;41.0434;123.116
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;2.2;24;0.889615;257;~2375;41.052;123.137
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;2.2;27;0.899074;260;~2987;41.0618;123.162
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;2.2;30;0.915078;260;~3671;41.0727;123.189
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;2.2;33;0.943595;260;~4427;41.0848;123.22
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;2;3;0.903564;258;~105;41.0159;123.047
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;2;6;0.909374;258;~215;41.0174;123.051
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;2;9;0.911188;258;~395;41.0203;123.058
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;2;12;0.91324;261;~647;41.0244;123.068
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;2;15;0.919704;257;~971;41.0295;123.081
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;2;18;0.935484;259;~1367;41.0359;123.097
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;2;21;0.934505;258;~1835;41.0434;123.116
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;2;24;0.945086;259;~2375;41.052;123.137
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;2;27;0.960164;262;~2987;41.0618;123.162
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;2;30;0.973326;260;~3671;41.0727;123.189
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;2;33;0.991667;260;~4427;41.0848;123.22
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;1.8;3;0.970536;258;~105;41.0159;123.047
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;1.8;6;0.975625;258;~215;41.0174;123.051
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;1.8;9;0.984583;258;~395;41.0203;123.058
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;1.8;12;0.982722;259;~647;41.0244;123.068
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;1.8;15;0.991174;257;~971;41.0295;123.081
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;1.8;18;0.99865;257;~1367;41.0359;123.097
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;1.8;21;1.00561;257;~1835;41.0434;123.116
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;1.8;24;1.02303;258;~2375;41.052;123.137
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;1.8;27;1.03899;260;~2987;41.0618;123.162
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;1.8;30;1.05154;260;~3671;41.0727;123.189
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;1.8;33;1.06888;260;~4427;41.0848;123.22
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;1.6;3;1.0785;256;~105;41.0159;123.047
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;1.6;6;1.08347;260;~215;41.0174;123.051
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;1.6;9;1.08406;260;~395;41.0203;123.058
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;1.6;12;1.08881;257;~647;41.0244;123.068
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;1.6;15;1.09886;261;~971;41.0295;123.081
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;1.6;18;1.10971;259;~1367;41.0359;123.097
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;1.6;21;1.12352;259;~1835;41.0434;123.116
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;1.6;24;1.13909;260;~2375;41.052;123.137
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;1.6;27;1.15109;260;~2987;41.0618;123.162
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;1.6;30;1.16888;260;~3671;41.0727;123.189
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;8;1.6;33;1.17597;258;~4427;41.0848;123.22
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;4;3;3;0.845208;256;~105;41.0159;123.047
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;4;3;6;0.849604;258;~215;41.0174;123.051
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;4;3;9;0.856811;258;~395;41.0203;123.058
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;4;3;12;0.8574;259;~647;41.0244;123.068
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;4;3;15;0.864412;259;~971;41.0295;123.081
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;4;3;18;0.869997;259;~1367;41.0359;123.097
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;4;3;21;0.882587;261;~1835;41.0434;123.116
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;4;3;24;0.889231;260;~2375;41.052;123.137
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;4;3;27;0.899821;260;~2987;41.0618;123.162
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;4;3;30;0.915082;260;~3671;41.0727;123.189
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;4;3;33;0.927149;258;~4427;41.0848;123.22
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;4;2.2;3;0.842751;258;~105;41.0159;123.047
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;4;2.2;6;0.847884;258;~215;41.0174;123.051
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;4;2.2;9;0.869244;258;~395;41.0203;123.058
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;4;2.2;12;0.856717;259;~647;41.0244;123.068
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;4;2.2;15;0.863933;259;~971;41.0295;123.081
todd,ned,rod;32_matrix_add;FIELD;maldishonest;mascot;NA;NA;NA;4;2.2;18;0.869851;257;~1367;41.0359;123.097
