program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;cpus;freqs(GHz);quotas(%);latencies(ms);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;60;100;9;8.3216;14.80;13;0;~82;0.005184;0.015552;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;RING;maldishonest;spdz2k;3;0.28;16;1;9;9;9;NA;NA;NA;NA;NA;NA;10;4;2.6;240;50;3;7.34109;9.50;165;46;~129;20.5987;61.7958;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;RING;maldishonest;spdz2k;3;0.32;16;1;36;36;36;NA;NA;NA;NA;NA;NA;37;4;2.6;240;50;6;10.2026;12.31;162;35;~237;20.6004;61.8001;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;RING;maldishonest;spdz2k;3;0.37;17;1;81;81;81;NA;NA;NA;NA;NA;NA;82;4;2.6;240;50;9;14.6324;16.77;164;25;~417;20.6033;61.8073;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;RING;maldishonest;spdz2k;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2.6;240;100;3;13.0629;17.05;164;42;~129;20.5987;61.7958;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;RING;maldishonest;spdz2k;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2.6;240;100;6;18.7303;22.70;164;32;~237;20.6004;61.8001;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;RING;maldishonest;spdz2k;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2.6;240;100;9;27.7111;31.72;166;23;~417;20.6033;61.8073;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;RING;maldishonest;spdz2k;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2.6;120;50;3;7.49613;9.64;162;46;~129;20.5987;61.7958;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;RING;maldishonest;spdz2k;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2.6;120;50;6;10.216;12.31;163;38;~237;20.6004;61.8001;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;RING;maldishonest;spdz2k;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2.6;120;50;9;14.6511;16.78;166;25;~417;20.6033;61.8073;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
