comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  optshare  packbool  protocol  latencies(ms)  bandwidths(Mbs)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.51          216                1                  512       1         0         1         1              25000            40960       0           0           0.090928     NA          0.738086          0.463251            0.463250           1.16                 1273          123
1.53          215                1                  512       1         0         1         1              25000            40960       0           1           .011373      NA          .139329           .100599             .100599            1.53                 215           100
1.52          216                1                  512       1         0         1         1              24000            40960       0           0           0.057758     NA          0.702629          0.424416            0.424415           1.01                 1279          123
1.50          217                1                  512       1         0         1         1              24000            40960       0           1           .012845      NA          .142582           .104079             .104079            1.50                 217           99
1.52          217                1                  512       1         0         1         1              23000            40960       0           0           0.055838     NA          0.712932          0.451038            0.451037           1.14                 1273          110
1.50          215                1                  512       1         0         1         1              23000            40960       0           1           .012584      NA          .139823           .103810             .103809            1.50                 215           99
1.39          216                1                  512       1         0         1         1              22000            40960       0           0           0.054865     NA          0.739696          0.442387            0.442385           1.12                 1274          111
1.48          216                1                  512       1         0         1         1              22000            40960       0           1           .011383      NA          .143464           .100920             .100919            1.48                 216           99
1.57          215                1                  512       1         0         1         1              21000            40960       0           0           0.055182     NA          0.716812          0.417750            0.417749           1.03                 1273          119
1.41          216                1                  512       1         0         1         1              21000            40960       0           1           .010908      NA          .141013           .114597             .114596            1.41                 216           99
1.52          215                1                  512       1         0         1         1              20000            40960       0           0           0.055370     NA          0.701978          0.432764            0.432763           1.07                 1274          112
1.64          215                1                  512       1         0         1         1              20000            40960       0           1           .012569      NA          .147633           .118835             .118835            1.64                 215           100
1.52          216                1                  512       1         0         1         1              19000            40960       0           0           0.091172     NA          0.722216          0.450089            0.450088           1.15                 1274          123
1.61          216                1                  512       1         0         1         1              19000            40960       0           1           .011763      NA          .149778           .128070             .128069            1.61                 216           100
1.53          215                1                  512       1         0         1         1              18000            40960       0           0           0.090496     NA          0.829457          0.514382            0.514381           1.21                 1274          125
1.66          217                1                  512       1         0         1         1              18000            40960       0           1           .011135      NA          .141151           .116804             .116803            1.66                 217           100
1.58          215                1                  512       1         0         1         1              17000            40960       0           0           0.058466     NA          0.717677          0.409260            0.409259           0.94                 1273          132
1.52          215                1                  512       1         0         1         1              17000            40960       0           1           .012304      NA          .142521           .115521             .115521            1.52                 215           99
1.65          216                1                  512       1         0         1         1              16000            40960       0           0           0.088093     NA          0.779409          0.466405            0.466404           1.17                 1273          126
1.56          215                1                  512       1         0         1         1              16000            40960       0           1           .012874      NA          .141210           .119045             .119045            1.56                 215           99
1.68          215                1                  512       1         0         1         1              15000            40960       0           0           0.088382     NA          0.777652          0.508130            0.508129           1.20                 1273          122
1.80          216                1                  512       1         0         1         1              15000            40960       0           1           .012579      NA          .144953           .128724             .128724            1.80                 216           99
1.58          216                1                  512       1         0         1         1              14000            40960       0           0           0.056247     NA          0.722337          0.430639            0.430638           1.12                 1274          115
1.77          216                1                  512       1         0         1         1              14000            40960       0           1           .011855      NA          .142659           .127487             .127487            1.77                 216           100
1.71          216                1                  512       1         0         1         1              13000            40960       0           0           0.089801     NA          0.734827          0.460618            0.460617           1.15                 1273          123
1.70          216                1                  512       1         0         1         1              13000            40960       0           1           .011303      NA          .144521           .144100             .144100            1.70                 216           99
1.54          215                1                  512       1         0         1         1              12000            40960       0           0           0.088378     NA          0.742514          0.462063            0.462063           1.16                 1273          124
1.89          215                1                  512       1         0         1         1              12000            40960       0           1           .012120      NA          .136011           .145987             .145987            1.89                 215           99
1.45          216                1                  512       1         0         1         1              11000            40960       0           0           0.056940     NA          0.710773          0.425249            0.425249           0.94                 1274          129
1.48          216                1                  512       1         0         1         1              11000            40960       0           1           .011501      NA          .140133           .159894             .159894            1.48                 216           99
1.51          215                1                  512       1         0         1         1              10000            40960       0           0           0.091248     NA          0.788388          0.517040            0.517039           1.21                 1273          122
1.57          215                1                  512       1         0         1         1              10000            40960       0           1           .012964      NA          .141763           .166328             .166327            1.57                 215           99
1.69          215                1                  512       1         0         1         1              9000             40960       0           0           0.055083     NA          0.782327          0.467269            0.467268           1.05                 1273          120
