program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);bandwidths(Mbs);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;40;40;4096;0.292718;2.21;297;91;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;40;30;4096;0.347954;2.30;297;89;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;100;600;4096;0.239767;2.22;298;92;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;100;500;4096;0.201237;2.11;298;95;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;100;400;4096;0.205961;2.13;298;94;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;100;300;4096;0.209373;2.13;298;94;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;100;200;4096;0.220011;2.14;296;94;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;100;100;4096;0.24209;2.21;296;90;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;100;80;4096;0.241971;2.15;298;93;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;100;60;4096;0.262785;2.22;299;93;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;100;40;4096;0.280887;2.21;297;91;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;100;30;4096;0.308928;2.21;297;90;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;200;600;4096;0.223898;2.20;297;92;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;200;500;4096;0.221217;2.21;297;94;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;200;400;4096;0.214857;2.14;298;94;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;200;300;4096;0.203354;2.14;296;94;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;200;200;4096;0.214921;2.21;298;94;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;200;100;4096;0.234782;2.18;296;93;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;200;80;4096;0.25094;2.23;298;93;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;200;60;4096;0.253333;2.18;297;93;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;200;40;4096;0.289623;2.21;298;91;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;200;30;4096;0.335132;2.27;298;90;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;300;600;4096;0.22055;2.20;298;93;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;300;500;4096;0.206297;2.13;296;95;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;300;400;4096;0.207678;2.11;298;94;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;300;300;4096;0.204163;2.14;298;95;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;300;200;4096;0.230295;2.15;299;94;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;300;100;4096;0.242467;2.24;299;93;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;300;80;4096;0.239074;2.18;296;93;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;300;60;4096;0.246515;2.19;298;93;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;300;40;4096;0.286711;2.20;296;92;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;300;30;4096;0.344527;2.25;297;89;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;400;600;4096;0.207889;2.12;296;95;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;400;500;4096;0.217659;2.17;299;94;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;400;400;4096;0.243002;2.16;296;94;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;400;300;4096;0.223079;2.17;296;94;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;400;200;4096;0.222592;2.19;296;92;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;400;100;4096;0.231957;2.17;297;93;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;400;80;4096;0.230325;2.17;296;94;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;400;60;4096;0.242018;2.16;296;93;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;400;40;4096;0.273609;2.20;296;92;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;400;30;4096;0.307812;2.23;298;90;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;500;600;4096;0.211026;2.19;296;94;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;500;500;4096;0.203972;2.13;296;95;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;500;400;4096;0.210552;2.14;299;94;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;500;300;4096;0.214871;2.16;296;95;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;500;200;4096;0.214078;2.18;296;93;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;500;100;4096;0.229703;2.20;297;93;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;500;80;4096;0.254342;2.22;297;93;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;500;60;4096;0.249263;2.18;298;93;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;500;40;4096;0.278882;2.24;297;90;NA;0.520248;1.03652
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;500;30;4096;0.332422;2.27;296;89;NA;0.520248;1.03652
