nodes;program;c.domain;adv.model;protocol;partysize;comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;freqs(GHz);quotas(%);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;25;25;25;NA;NA;NA;NA;75;NA;101;3;240;5;0.0293724;NA;~108;0.483496;1.45049;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;81;81;81;NA;NA;NA;NA;243;NA;325;3;240;9;0.0394031;NA;~332;0.490664;1.47199;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;121;121;121;NA;NA;NA;NA;363;NA;485;3;240;11;0.0494251;NA;~492;0.495784;1.48735;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;169;169;169;NA;NA;NA;NA;507;NA;677;3;240;13;0.058426;NA;~684;0.501928;1.50578;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;225;225;225;NA;NA;NA;NA;675;NA;901;3;240;15;0.0720749;NA;~908;0.509096;1.52729;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;289;289;289;NA;NA;NA;NA;867;NA;1157;3;240;17;0.0852578;NA;~1164;0.517288;1.55186;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;361;361;361;NA;NA;NA;NA;1083;NA;1445;3;240;19;0.105776;NA;~1452;0.526504;1.57951;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;441;441;441;NA;NA;NA;NA;1323;NA;1765;3;240;21;0.117781;NA;~1772;0.536744;1.61023;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;529;529;529;NA;NA;NA;NA;1587;NA;2117;3;240;23;0.140271;NA;~2124;0.548008;1.64402;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;625;625;625;NA;NA;NA;NA;1875;NA;2501;3;240;25;0.158918;NA;~2508;0.560296;1.68089;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
valga,tapa,rapla;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;729;729;729;NA;NA;NA;NA;2187;NA;2917;3;240;27;0.180755;NA;~2924;0.573608;1.72082;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
