protocol;input_size;measurement
unsealdmpc;200;1.056569501
unsealdmpc;400;1.052092393
unsealdmpc;600;3.408380448
unsealdmpc;800;1.048549667
unsealdmpc;1000;3.412122734
unsealdmpc;1200;3.409245458
unsealdmpc;1400;2.328356445
unsealdmpc;1600;3.444455484
unsealdmpc;1800;3.445034466
unsealdmpc;2000;3.483829326
unsealdmpc;2200;1.041810335
unsealdmpc;2400;3.398473964
