comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  optshare  packbool  protocol  latencies(ms)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
3.06          233                1                  256       1         0         1         1              1024        0           0           0.002007     NA          0.027306          0.098554            0.098553           0.12                 19            37
3.07          234                1                  256       1         0         1         1              4096        0           0           0.006776     NA          0.090726          0.229487            0.229485           0.29                 67            51
3.06          234                1                  256       1         0         1         1              8192        0           0           0.012999     NA          0.153135          0.436066            0.436065           0.53                 131           46
3.06          233                1                  256       1         0         1         5              1024        0           0           0.002122     NA          0.026730          0.140227            0.140225           0.18                 19            26
3.06          235                1                  256       1         0         1         5              4096        0           0           0.006740     NA          0.084369          0.308003            0.308002           0.38                 67            36
3.06          234                1                  256       1         0         1         5              8192        0           0           0.013013     NA          0.165954          0.542719            0.542718           0.66                 130           40
3.06          235                1                  256       1         0         1         10             1024        0           0           0.002096     NA          0.025710          0.255258            0.255257           0.30                 19            13
3.05          235                1                  256       1         0         1         10             4096        0           0           0.006595     NA          0.091895          0.416941            0.416940           0.51                 67            29
3.06          235                1                  256       1         0         1         10             8192        0           0           0.012924     NA          0.162430          0.704689            0.704688           0.84                 130           31
3.08          235                1                  256       1         0         1         20             1024        0           0           0.002196     NA          0.030529          0.491180            0.491179           0.57                 19            9
3.06          236                1                  256       1         0         1         20             4096        0           0           0.006718     NA          0.090257          0.661023            0.661022           0.77                 67            19
3.06          235                1                  256       1         0         1         20             8192        0           0           0.012835     NA          0.161924          0.898274            0.898273           1.05                 130           24
3.07          234                1                  256       1         0         1         40             1024        0           0           0.002132     NA          0.028837          0.981451            0.981450           1.11                 19            4
3.05          234                1                  256       1         0         1         40             4096        0           0           0.006610     NA          0.100368          1.179047            1.179046           1.35                 67            11
3.07          236                1                  256       1         0         1         40             8192        0           0           0.012756     NA          0.173047          1.523129            1.523127           1.73                 131           15
3.06          235                1                  256       1         0         1         60             1024        0           0           0.002101     NA          0.034092          1.453330            1.453328           1.65                 19            3
3.06          234                1                  256       1         0         1         60             4096        0           0           0.006832     NA          0.099574          1.717596            1.717595           1.96                 67            8
3.06          235                1                  256       1         0         1         60             8192        0           0           0.012768     NA          0.166956          2.105122            2.105120           2.38                 130           11
3.07          235                1                  256       1         0         1         80             1024        0           0           0.001943     NA          0.031845          1.932740            1.932739           2.18                 19            2
3.06          235                1                  256       1         0         1         80             4096        0           0           0.006629     NA          0.102651          2.275234            2.275232           2.57                 67            5
3.06          234                1                  256       1         0         1         80             8192        0           0           0.012690     NA          0.172900          2.791075            2.791074           3.11                 131           8
3.06          235                1                  256       1         0         1         100            1024        0           0           0.002134     NA          0.033395          2.411570            2.411569           2.73                 19            1
3.06          234                1                  256       1         0         1         100            4096        0           0           0.006727     NA          0.100562          2.831181            2.831180           3.19                 67            4
3.05          237                1                  256       1         0         1         100            8192        0           0           0.013105     NA          0.179672          3.402731            3.402730           3.80                 130           7
3.06          235                1                  256       1         0         1         300            1024        0           0           0.002116     NA          0.035902          7.210927            7.210926           8.13                 19            0
3.07          235                1                  256       1         0         1         300            4096        0           0           0.006819     NA          0.113872          10.257098           10.257096          11.21                70            1
3.08          234                1                  256       1         0         1         300            8192        0           0           0.012585     NA          0.200990          17.156259           17.156257          18.16                130           1
3.07          234                1                  256       1         0         1         500            1024        0           0           0.001997     NA          0.039230          12.013081           12.013079          13.53                19            0
3.05          235                1                  256       1         0         1         500            4096        0           0           0.006683     NA          0.113415          16.576842           16.576840          18.13                67            0
