nodes;program;c.domain;adv.model;protocol;partysize;bandwidths(Mbs);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;100;30;38.7654;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;95;30;40.1355;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;90;30;41.924;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;85;30;43.7113;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;80;30;45.6943;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;75;30;47.9047;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;70;30;50.5896;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;65;30;53.6331;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;60;30;57.1567;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;55;30;61.3442;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;50;30;66.3481;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;45;30;72.4615;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;40;30;80.3246;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;35;30;89.991;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;30;30;103.14;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;25;30;121.467;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;20;30;149.266;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;15;30;195.18;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;10;30;287.354;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-rep-bmr;3;5;30;564.337;NA;NA;362.91;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;100;30;55.1072;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;95;30;57.0037;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;90;30;59.1377;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;85;30;61.3335;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;80;30;64.1249;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;75;30;66.9568;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;70;30;70.2499;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;65;30;74.2909;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;60;30;78.7683;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;55;30;84.3314;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;50;30;91.1073;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;45;30;100.1;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;40;30;111.144;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;35;30;125.986;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;30;30;145.935;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;25;30;173.869;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;20;30;215.813;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;15;30;285.931;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;10;30;426.825;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;malhonest;mal-shamir-bmr;3;5;30;853.05;NA;NA;992.505;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;rep-bmr;3;100;30;14.927;NA;NA;148.705;NA
