program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);input_size;packetdrops(%);runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
31;BINARY;semidishonest;yao;2;11.77;266;2;4096;2;1.17955;1.31;56;76;NA;33.9477;NA
31;BINARY;semidishonest;yao;2;NA;NA;NA;4096;4;2.73162;2.87;56;89;NA;33.9477;NA
31;BINARY;semidishonest;yao;2;NA;NA;NA;4096;6;7.40871;7.54;55;97;NA;33.9477;NA
31;BINARY;semidishonest;yao;2;NA;NA;NA;4096;8;23.1966;25.39;59;90;NA;33.9477;NA
31;BINARY;semidishonest;yao;2;NA;NA;NA;4096;10;72.2951;75.97;55;89;NA;33.9477;NA
31;BINARY;semidishonest;yao;2;NA;NA;NA;4096;12;152.047;152.18;55;99;NA;33.9477;NA
31;BINARY;semidishonest;yaoO;2;11.77;266;2;4096;2;1.45014;1.60;56;24;NA;0;NA
31;BINARY;semidishonest;yaoO;2;NA;NA;NA;4096;4;2.33962;3.72;56;12;NA;0;NA
31;BINARY;semidishonest;yaoO;2;NA;NA;NA;4096;6;6.14362;6.53;56;7;NA;0;NA
31;BINARY;semidishonest;yaoO;2;NA;NA;NA;4096;8;44.7414;46.89;57;1;NA;0;NA
31;BINARY;semidishonest;yaoO;2;NA;NA;NA;4096;10;58.3146;60.94;55;0;NA;0;NA
31;BINARY;semidishonest;yaoO;2;NA;NA;NA;4096;12;140.697;143.22;56;0;NA;0;NA
31;BINARY;semihonest;replicated-bin;3;11.77;266;2;4096;2;93.8186;94.40;24;17;NA;1.32319;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;4096;4;343.355;345.79;24;5;NA;1.32319;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;4096;6;909.868;911.29;25;2;NA;1.32319;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;4096;8;1694.82;1698.28;24;1;NA;1.32319;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;4096;10;3091.49;3095.35;24;0;NA;1.32319;NA
31;BINARY;semihonest;replicated-bin;3;NA;NA;NA;4096;12;5966.19;5969.62;24;0;NA;1.32319;NA
