nodes;program;c.domain;adv.model;protocol;partysize;cpus;freqs(GHz);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;8;3;10;0.0352764;NA;NA;0.003366;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;8;3;200;0.638055;NA;NA;0.066256;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;8;3;400;1.41783;NA;NA;0.132456;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;8;3;600;1.88822;NA;NA;0.198656;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;8;3;800;2.64649;NA;NA;0.264856;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;8;3;1000;3.33563;NA;NA;0.331088;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;8;3;1200;3.94028;NA;NA;0.397288;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;8;3;1400;4.81513;NA;NA;0.463504;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;8;3;1600;5.1941;NA;NA;0.529704;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;8;3;1800;5.81217;NA;NA;0.595904;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;8;3;2000;6.23878;NA;NA;0.66212;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;8;2.2;10;0.0341581;NA;NA;0.003366;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;8;2.2;200;0.695659;NA;NA;0.066256;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;8;2.2;400;1.22659;NA;NA;0.132456;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;8;2.2;600;1.95213;NA;NA;0.198656;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;replicated-bin;3;8;2.2;800;2.86883;NA;NA;0.264856;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;ccd;3;8;3;10;0.036811;NA;NA;0.007164;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;ccd;3;8;3;200;0.686991;NA;NA;0.142064;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;ccd;3;8;3;400;1.39791;NA;NA;0.284064;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;ccd;3;8;3;600;2.10291;NA;NA;0.426064;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;ccd;3;8;3;800;2.79979;NA;NA;0.568064;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;ccd;3;8;3;1000;3.38874;NA;NA;0.710064;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;ccd;3;8;3;1200;4.04746;NA;NA;0.852064;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;ccd;3;8;3;1400;4.75404;NA;NA;0.994064;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;ccd;3;8;3;1600;5.48007;NA;NA;1.13606;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;ccd;3;8;3;1800;6.09204;NA;NA;1.27806;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;ccd;3;8;3;2000;6.88686;NA;NA;1.42006;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;ccd;3;8;2.2;10;0.0364892;NA;NA;0.007164;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;ccd;3;8;2.2;200;0.688886;NA;NA;0.142064;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;ccd;3;8;2.2;400;1.39637;NA;NA;0.284064;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;ccd;3;8;2.2;600;2.1106;NA;NA;0.426064;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;ccd;3;8;2.2;800;2.75831;NA;NA;0.568064;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;8;3;10;0.200117;NA;NA;3.58134;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;8;3;200;3.86615;NA;NA;66.3506;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;8;3;400;7.89166;NA;NA;132.373;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;8;3;600;13.0163;NA;NA;198.715;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;8;3;800;16.7508;NA;NA;264.738;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;8;3;1000;18.747;NA;NA;330.76;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;8;3;1200;24.2732;NA;NA;397.103;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;8;3;1400;27.6327;NA;NA;463.445;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;8;3;1600;30.6255;NA;NA;529.467;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;8;3;1800;37.3088;NA;NA;595.49;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;8;3;2000;39.8313;NA;NA;661.832;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;8;2.2;10;0.262193;NA;NA;3.58134;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;8;2.2;200;4.06614;NA;NA;66.3506;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;8;2.2;400;8.12013;NA;NA;132.373;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;8;2.2;600;11.211;NA;NA;198.715;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;shamir-bmr;3;8;2.2;800;15.8739;NA;NA;264.738;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;rep-bmr;3;8;3;10;0.0993095;NA;NA;1.62013;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;rep-bmr;3;8;3;200;1.78175;NA;NA;32.3424;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;rep-bmr;3;8;3;400;3.86307;NA;NA;64.6816;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;rep-bmr;3;8;3;600;5.35996;NA;NA;97.0208;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;rep-bmr;3;8;3;800;7.68596;NA;NA;129.36;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;rep-bmr;3;8;3;1000;8.80841;NA;NA;161.699;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;rep-bmr;3;8;3;1200;11.6792;NA;NA;194.038;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;rep-bmr;3;8;3;1400;13.2781;NA;NA;226.378;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;rep-bmr;3;8;3;1600;14.4093;NA;NA;258.717;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;rep-bmr;3;8;3;1800;17.2147;NA;NA;291.056;NA
dogecoin,dogecoincash,dogecoingold;35_set_intersection;BINARY;semihonest;rep-bmr;3;8;3;2000;18.6105;NA;NA;323.395;NA
