comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.57;218;1;128;1;0;1;4096;0;0;0.004524;NA;0.033864;0.030123;0.030122;0.05;35;105
1.54;218;1;128;1;0;1;4096;0;1;.000525;NA;.003794;.005807;.005806;1.54;218;100
1.60;218;1;128;1;0;1;8192;0;0;0.009207;NA;0.068420;0.053948;0.053947;0.09;67;116
1.46;217;1;128;1;0;1;8192;0;1;.001108;NA;.009612;.014574;.014574;1.46;217;99
1.54;218;1;128;1;0;1;12288;0;0;0.013526;NA;0.093754;0.071339;0.071338;0.13;99;113
1.54;218;1;128;1;0;1;12288;0;1;.001578;NA;.017542;.022166;.022166;1.54;218;99
1.98;217;1;128;1;0;1;16384;0;0;0.010053;NA;0.100422;0.094079;0.094078;0.18;130;86
1.64;219;1;128;1;0;1;16384;0;1;.002176;NA;.019800;.025370;.025370;1.64;219;99
1.89;218;1;128;1;0;1;20480;0;0;0.023640;NA;0.160450;0.126913;0.126912;0.22;162;114
1.57;217;1;128;1;0;1;20480;0;1;.003049;NA;.026694;.033076;.033076;1.57;217;100
1.46;217;1;128;1;0;1;24576;0;0;0.025635;NA;0.173934;0.149812;0.149811;0.26;194;108
1.87;218;1;128;1;0;1;24576;0;1;.004359;NA;.029924;.036531;.036531;1.87;218;100
1.46;218;1;128;1;0;1;28672;0;0;0.028221;NA;0.247681;0.191573;0.191572;0.34;226;112
1.75;219;1;128;1;0;1;28672;0;1;.004780;NA;.036181;.043706;.043705;1.75;219;99
1.57;218;1;128;1;0;1;32768;0;0;0.024532;NA;0.209108;0.188211;0.188210;0.34;257;95
1.82;218;1;128;1;0;1;32768;0;1;.005707;NA;.042857;.049978;.049978;1.82;218;99
1.55;217;1;128;1;0;1;36864;0;0;0.043794;NA;0.321895;0.250239;0.250239;0.43;289;114
1.62;217;1;128;1;0;1;36864;0;1;.006108;NA;.049126;.060776;.060775;1.62;217;100
1.47;218;1;128;1;0;1;40960;0;0;0.049250;NA;0.365854;0.284598;0.284597;0.49;321;113
1.59;218;1;128;1;0;1;40960;0;1;.007336;NA;.053875;.065482;.065482;1.59;218;99
1.71;218;1;128;1;0;2;4096;0;0;0.007219;NA;0.033503;0.035874;0.035873;0.06;39;95
1.44;218;1;128;1;0;2;4096;0;1;.000839;NA;.003733;.006092;.006091;1.44;218;100
1.45;218;1;128;1;0;2;8192;0;0;0.010107;NA;0.046045;0.056575;0.056574;0.09;75;83
1.70;217;1;128;1;0;2;8192;0;1;.001813;NA;.008592;.011091;.011090;1.70;217;99
1.58;217;1;128;1;0;2;12288;0;0;0.022564;NA;0.090263;0.100073;0.100072;0.16;111;94
