nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;cpus;freqs(GHz);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;1040;630;74;8;3;10;1.71488;377;~446;176.474;488.193
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;5200;3150;354;8;3;50;4.23794;382;~1780;492.572;1435.84
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;10400;6300;704;8;3;100;7.26124;378;~3428;853.872;2518.96
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;15600;9450;1054;8;3;150;10.1796;379;~5076;1215.17;3602.07
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;20800;12600;1404;8;3;200;14.096;379;~6724;1576.47;4685.19
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;26000;15750;1754;8;3;250;16.0679;386;~8372;1937.77;5768.31
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;31200;18900;2104;8;3;300;19.2524;384;~10054;2344.23;6986.81
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;36400;22050;2454;8;3;350;22.6503;388;~11728;2750.63;8205.18
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;41600;25200;2804;8;3;400;25.9244;391;~13376;3111.93;9288.3
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;46800;28350;3154;8;3;450;28.6772;387;~15024;3473.23;10371.4
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;52000;31500;3504;8;3;500;31.2876;389;~16672;3834.53;11454.5
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;1040;630;74;8;2.2;10;1.92757;376;~446;176.474;488.193
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;5200;3150;354;8;2.2;50;4.75546;377;~1780;492.572;1435.84
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;10400;6300;704;8;2.2;100;8.11097;384;~3428;853.872;2518.96
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;15600;9450;1054;8;2.2;150;11.2905;384;~5076;1215.17;3602.07
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;20800;12600;1404;8;2.2;200;14.5855;383;~6724;1576.47;4685.19
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;26000;15750;1754;8;2.2;250;17.7905;387;~8372;1937.77;5768.31
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;31200;18900;2104;8;2.2;300;21.4532;384;~10054;2344.23;6986.81
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;36400;22050;2454;8;2.2;350;25.0151;384;~11728;2750.63;8205.18
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;41600;25200;2804;8;2.2;400;28.3635;382;~13376;3111.93;9288.3
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;46800;28350;3154;8;2.2;450;31.6051;390;~15024;3473.23;10371.4
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;52000;31500;3504;8;2.2;500;34.8333;394;~16672;3834.53;11454.5
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;1040;630;74;8;2;10;2.10465;376;~446;176.474;488.193
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;5200;3150;354;8;2;50;5.19199;379;~1780;492.572;1435.84
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;10400;6300;704;8;2;100;8.78907;377;~3428;853.872;2518.96
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;15600;9450;1054;8;2;150;12.2231;382;~5076;1215.17;3602.07
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;20800;12600;1404;8;2;200;15.9552;384;~6724;1576.47;4685.19
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;26000;15750;1754;8;2;250;19.4938;389;~8372;1937.77;5768.31
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;31200;18900;2104;8;2;300;23.4891;389;~10054;2344.23;6986.81
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;36400;22050;2454;8;2;350;27.4374;389;~11728;2750.63;8205.18
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;41600;25200;2804;8;2;400;30.9348;385;~13376;3111.93;9288.3
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;46800;28350;3154;8;2;450;34.3472;392;~15024;3473.23;10371.4
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;52000;31500;3504;8;2;500;38.1806;386;~16672;3834.53;11454.5
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;1040;630;74;8;1.8;10;2.29611;377;~446;176.474;488.193
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;5200;3150;354;8;1.8;50;5.76225;378;~1780;492.572;1435.84
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;10400;6300;704;8;1.8;100;9.64856;378;~3428;853.872;2518.96
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;15600;9450;1054;8;1.8;150;13.5763;382;~5076;1215.17;3602.07
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;20800;12600;1404;8;1.8;200;17.711;383;~6724;1576.47;4685.19
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;26000;15750;1754;8;1.8;250;21.4868;386;~8372;1937.77;5768.31
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;31200;18900;2104;8;1.8;300;25.7785;384;~10054;2344.23;6986.81
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;36400;22050;2454;8;1.8;350;30.1281;386;~11728;2750.63;8205.18
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;41600;25200;2804;8;1.8;400;34.102;387;~13376;3111.93;9288.3
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;46800;28350;3154;8;1.8;450;38.073;390;~15024;3473.23;10371.4
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;52000;31500;3504;8;1.8;500;41.8702;388;~16672;3834.53;11454.5
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;1040;630;74;8;1.6;10;2.55635;377;~446;176.474;488.193
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;5200;3150;354;8;1.6;50;6.4491;383;~1780;492.572;1435.84
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;10400;6300;704;8;1.6;100;10.8446;382;~3428;853.872;2518.96
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;15600;9450;1054;8;1.6;150;14.9768;382;~5076;1215.17;3602.07
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;20800;12600;1404;8;1.6;200;19.6476;388;~6724;1576.47;4685.19
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;26000;15750;1754;8;1.6;250;23.7136;387;~8372;1937.77;5768.31
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;31200;18900;2104;8;1.6;300;28.6199;387;~10054;2344.23;6986.81
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;36400;22050;2454;8;1.6;350;33.4554;382;~11728;2750.63;8205.18
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;41600;25200;2804;8;1.6;400;37.8102;386;~13376;3111.93;9288.3
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;46800;28350;3154;8;1.6;450;42.1618;387;~15024;3473.23;10371.4
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;52000;31500;3504;8;1.6;500;46.5417;388;~16672;3834.53;11454.5
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;1040;630;74;4;3;10;1.73724;378;~446;176.474;488.193
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;5200;3150;354;4;3;50;4.28709;381;~1780;492.572;1435.84
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;10400;6300;704;4;3;100;7.23645;377;~3428;853.872;2518.96
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;15600;9450;1054;4;3;150;10.2496;381;~5076;1215.17;3602.07
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;20800;12600;1404;4;3;200;13.194;381;~6724;1576.47;4685.19
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;26000;15750;1754;4;3;250;16.0414;386;~8372;1937.77;5768.31
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;31200;18900;2104;4;3;300;19.4222;386;~10054;2344.23;6986.81
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;36400;22050;2454;4;3;350;22.7549;384;~11728;2750.63;8205.18
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;41600;25200;2804;4;3;400;25.7033;385;~13376;3111.93;9288.3
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;46800;28350;3154;4;3;450;28.582;386;~15024;3473.23;10371.4
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;52000;31500;3504;4;3;500;31.4241;389;~16672;3834.53;11454.5
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;1040;630;74;4;2.2;10;1.92748;378;~446;176.474;488.193
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;5200;3150;354;4;2.2;50;4.78903;380;~1780;492.572;1435.84
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;10400;6300;704;4;2.2;100;8.05532;380;~3428;853.872;2518.96
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;15600;9450;1054;4;2.2;150;11.289;380;~5076;1215.17;3602.07
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;20800;12600;1404;4;2.2;200;14.6109;381;~6724;1576.47;4685.19
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;26000;15750;1754;4;2.2;250;17.7947;380;~8372;1937.77;5768.31
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;31200;18900;2104;4;2.2;300;21.4843;384;~10054;2344.23;6986.81
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;36400;22050;2454;4;2.2;350;25.1882;387;~11728;2750.63;8205.18
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;41600;25200;2804;4;2.2;400;28.4262;390;~13376;3111.93;9288.3
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;46800;28350;3154;4;2.2;450;31.6541;387;~15024;3473.23;10371.4
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;52000;31500;3504;4;2.2;500;34.9693;386;~16672;3834.53;11454.5
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;1040;630;74;4;2;10;2.10822;378;~446;176.474;488.193
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;5200;3150;354;4;2;50;5.23918;383;~1780;492.572;1435.84
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;10400;6300;704;4;2;100;8.84051;379;~3428;853.872;2518.96
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;15600;9450;1054;4;2;150;12.3637;381;~5076;1215.17;3602.07
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;20800;12600;1404;4;2;200;15.9013;382;~6724;1576.47;4685.19
