program  c.domain  adv.model      protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)   Tx(rounds)  Tx(s)      Rx(MB)    Rx(rounds)  Rx(s)      Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)   Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
34       BINARY    semihonest     ccd               3          4.40          81                 1                  NA            NA            NA            5184          5184          5184         NA            NA               1084266          18793          9           1.57296              1.65                 13            219        NA            2.18408         NA               NA       NA          NA         NA        NA          NA         NA             NA                 NA            2.1789    7777          1.12518   NA           NA               NA          0.005184            81                      0.0090209          NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       BINARY    semihonest     replicated-bin    3          3.18          63                 1                  NA            NA            NA            576           576           576          NA            NA               120474           2089           3           0.0954607            0.14                 10            114        NA            0.12117         NA               4.8e-05  3           0.0935419  4.8e-05   3           0.0953632  NA             NA                 NA            NA        NA            NA        0.121122     874              0.0794517   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       BINARY    semihonest     replicated-bin    3          3.63          68                 1                  NA            NA            NA            2304          2304          2304         NA            NA               481896           8353           6           0.774532             0.83                 12            85         NA            0.484536        NA               4.8e-05  3           0.772312   4.8e-05   3           0.773431   NA             NA                 NA            NA        NA            NA        0.484488     3493             0.666562    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       BINARY    semihonest     replicated-bin    3          4.40          81                 1                  NA            NA            NA            5184          5184          5184         NA            NA               1084266          18793          9           1.57312              1.64                 13            110        NA            1.09015         NA               4.8e-05  3           1.57125    4.8e-05   3           1.57167    NA             NA                 NA            NA        NA            NA        1.0901       7858             1.3316      NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       BINARY    semidishonest  yao               2          3.18          63                 1                  NA            NA            NA            576           576           576          NA            NA               120474           2089           3           0.0492472            0.07                 11            96         NA            3.85574         NA               3.85574  20          0.0142273  7.2e-05   9           0.0445974  NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       BINARY    semidishonest  yao               2          3.63          68                 1                  NA            NA            NA            2304          2304          2304         NA            NA               481896           8353           6           0.161259             0.19                 13            109        NA            15.423          NA               15.423   74          0.0175843  0.000288  36          0.200448   NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       BINARY    semidishonest  yao               2          4.40          81                 1                  NA            NA            NA            5184          5184          5184         NA            NA               1084266          18793          9           0.445424             0.49                 14            97         NA            34.7017         NA               34.7017  164         0.0237877  0.000648  81          0.65951    NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       BINARY    semidishonest  yaoO              2          3.18          63                 1                  NA            NA            NA            576           576           576          NA            NA               120474           2089           3           0.0167441            0.06                 14            91         NA            0               NA               NA       NA          NA         3.85574   2           0.0179549  NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       BINARY    semidishonest  yaoO              2          3.63          68                 1                  NA            NA            NA            2304          2304          2304         NA            NA               481896           8353           6           0.199843             0.25                 26            96         NA            0               NA               NA       NA          NA         15.423    2           0.122137   NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
34       BINARY    semidishonest  yaoO              2          4.40          81                 1                  NA            NA            NA            5184          5184          5184         NA            NA               1084266          18793          9           0.367889             0.43                 44            109        NA            0               NA               NA       NA          NA         34.7017   6           0.353633   NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
