program  c.domain  adv.model      protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
34       FIELD     semihonest     shamir            3          0.28          30                 1                  3           0.00592597           0.09                 13            55         ~46           0.00144         0.003888
34       FIELD     semihonest     shamir            3          0.13          16                 1                  6           0.0168725            0.11                 13            68         ~181          0.00576         0.015552
34       FIELD     semihonest     shamir            3          0.14          17                 1                  9           0.0360333            0.13                 15            66         ~406          0.01296         0.034992
34       FIELD     malhonest      malicious-shamir  3          0.28          30                 1                  3           0.0658847            0.14                 19            69         ~46           1.76247         5.28742
34       FIELD     malhonest      malicious-shamir  3          0.13          16                 1                  6           0.066714             0.15                 19            91         ~154          1.76938         5.30815
34       FIELD     malhonest      malicious-shamir  3          0.14          17                 1                  9           0.0760352            0.16                 19            117        ~334          1.7809          5.34271
34       RING      maldishonest   spdz2k            3          0.11          16                 1                  3           1.33013              1.46                 326           106        ~279          60.8041         182.314
34       RING      maldishonest   spdz2k            3          0.12          16                 1                  6           1.33553              1.48                 325           105        ~711          60.811          182.329
34       RING      maldishonest   spdz2k            3          0.15          17                 1                  9           1.34497              1.48                 326           105        ~1431         60.8225         182.353
34       RING      semihonest     replicated-ring   3          0.11          16                 1                  3           0.00431682           0.08                 13            52         ~37           0.00036         0.00108
34       RING      semihonest     replicated-ring   3          0.12          16                 1                  6           0.0109703            0.09                 13            64         ~145          0.00144         0.00432
34       RING      semihonest     replicated-ring   3          0.15          17                 1                  9           0.0203142            0.10                 13            59         ~325          0.00324         0.00972
34       BINARY    semihonest     ccd               3          3.18          63                 1                  3           0.137081             0.19                 11            139        NA            0.242676        NA
34       BINARY    semihonest     ccd               3          3.63          68                 1                  6           0.684843             0.76                 12            199        NA            0.970704        NA
34       BINARY    semihonest     ccd               3          4.40          81                 1                  9           1.57296              1.65                 13            219        NA            2.18408         NA
34       BINARY    semihonest     replicated-bin    3          3.18          63                 1                  3           0.0954607            0.14                 10            114        NA            0.12117         NA
34       BINARY    semihonest     replicated-bin    3          3.63          68                 1                  6           0.774532             0.83                 12            85         NA            0.484536        NA
34       BINARY    semihonest     replicated-bin    3          4.40          81                 1                  9           1.57312              1.64                 13            110        NA            1.09015         NA
34       BINARY    semidishonest  yao               2          3.18          63                 1                  3           0.0492472            0.07                 11            96         NA            3.85574         NA
34       BINARY    semidishonest  yao               2          3.63          68                 1                  6           0.161259             0.19                 13            109        NA            15.423          NA
34       BINARY    semidishonest  yao               2          4.40          81                 1                  9           0.445424             0.49                 14            97         NA            34.7017         NA
34       BINARY    semidishonest  yaoO              2          3.18          63                 1                  3           0.0167441            0.06                 14            91         NA            0               NA
34       BINARY    semidishonest  yaoO              2          3.63          68                 1                  6           0.199843             0.25                 26            96         NA            0               NA
34       BINARY    semidishonest  yaoO              2          4.40          81                 1                  9           0.367889             0.43                 44            109        NA            0               NA
