comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);freqs(GHz);datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.76;217;1;3;128;1;0;1;4096;0;0;0.004464;NA;0.030757;0.025986;0.025985;0.04;35;110
1.44;217;1;3;128;1;0;1;4096;0;1;.000568;NA;.003068;.003177;.003177;1.44;217;99
1.42;217;1;3;128;1;0;1;8192;0;0;0.004911;NA;0.028636;0.024540;0.024539;0.04;67;108
1.42;217;1;3;128;1;0;1;8192;0;1;.001133;NA;.006894;.007017;.007017;1.42;217;99
1.42;218;1;3;128;1;0;1;40960;0;0;0.029376;NA;0.165340;0.143605;0.143605;0.26;321;107
1.42;217;1;3;128;1;0;1;40960;0;1;.007940;NA;.040348;.040752;.040752;1.42;217;99
1.40;217;1;3;128;1;0;2;4096;0;0;0.004175;NA;0.014268;0.015877;0.015876;0.03;39;93
1.41;216;1;3;128;1;0;2;4096;0;1;.000777;NA;.003160;.003873;.003873;1.41;216;99
1.41;217;1;3;128;1;0;2;8192;0;0;0.008672;NA;0.029402;0.031536;0.031536;0.06;77;96
1.40;217;1;3;128;1;0;2;8192;0;1;.001492;NA;.007116;.008286;.008286;1.40;217;99
1.42;216;1;3;128;1;0;2;40960;0;0;0.048421;NA;0.168479;0.181817;0.181816;0.32;362;95
1.40;216;1;3;128;1;0;2;40960;0;1;.010650;NA;.034416;.041167;.041167;1.40;216;100
1.37;215;1;3;128;1;0;3;4096;0;0;0.003638;NA;0.007727;0.016080;0.016079;0.03;27;70
1.38;216;1;3;128;1;0;3;4096;0;1;.000798;NA;.002268;.003273;.003273;1.38;216;99
1.38;216;1;3;128;1;0;3;8192;0;0;0.006878;NA;0.015822;0.031225;0.031224;0.06;51;70
1.38;216;1;3;128;1;0;3;8192;0;1;.001721;NA;.005077;.007216;.007216;1.38;216;99
1.38;215;1;3;128;1;0;3;40960;0;0;0.041657;NA;0.097812;0.185167;0.185165;0.32;245;71
1.38;216;1;3;128;1;0;3;40960;0;1;.011452;NA;.029069;.039107;.039107;1.38;216;99
1.38;215;1;3;128;1;0;4;4096;0;0;0.003163;NA;0.008261;0.014144;0.014143;0.02;31;78
1.37;215;1;3;128;1;0;4;4096;0;1;.000749;NA;.001922;.002778;.002777;1.37;215;99
1.37;216;1;3;128;1;0;4;8192;0;0;0.005843;NA;0.015579;0.028860;0.028859;0.05;51;74
1.37;216;1;3;128;1;0;4;8192;0;1;.001590;NA;.003962;.005954;.005954;1.37;216;100
1.37;214;1;3;128;1;0;4;40960;0;0;0.036505;NA;0.105880;0.161361;0.161360;0.29;242;79
