comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.02          3                  1                  0    2        128       0         1         0         4         0         0         40960       0           2           .000083      NA          .005539           .009667             .009667            .013055              280           2078
1.41          229                1                  0    2        128       0         1         0         5         0         0         40960       0           0           0.001813     NA          0.146767          0.209513            0.209513           0.29                 242           150
0.02          3                  1                  0    2        128       0         1         0         5         0         0         40960       0           1           .000212      NA          .013127           .018817             .018817            .028333              281           811
0.02          3                  1                  0    2        128       0         1         0         5         0         0         40960       0           2           .000089      NA          .008955           .012111             .012111            .015555              281           2562
1.39          231                1                  0    2        128       0         1         0         6         0         0         40960       0           0           0.000932     NA          0.059231          0.053982            0.053981           0.13                 162           184
0.02          3                  1                  0    2        128       0         1         0         6         0         0         40960       0           1           .000053      NA          .003733           .004889             .004889            .013333              163           878
0.01          3                  1                  0    2        128       0         1         0         6         0         0         40960       0           2           .000021      NA          .003294           .003930             .003930            .006944              163           2805
1.45          233                1                  0    2        256       0         1         0         1         0         0         40960       0           0           0.007360     NA          0.306294          0.265750            0.265749           0.40                 638           210
0.02          3                  1                  0    2        256       0         1         0         1         0         0         40960       0           1           .000641      NA          .032378           .042095             .042095            .055000              638           929
0.02          3                  1                  0    2        256       0         1         0         1         0         0         40960       0           2           .000244      NA          .021366           .029008             .029008            .035555              638           2573
1.45          232                1                  0    2        256       0         1         0         2         0         0         40960       0           0           0.007140     NA          0.268367          0.282687            0.282686           0.41                 640           180
0.02          3                  1                  0    2        256       0         1         0         2         0         0         40960       0           1           .000904      NA          .026243           .034671             .034671            .047500              642           905
0.02          3                  1                  0    2        256       0         1         0         2         0         0         40960       0           2           .000615      NA          .015753           .025231             .025231            .035000              640           2033
1.44          231                1                  0    2        256       0         1         0         3         0         0         40960       0           0           0.002315     NA          0.158653          0.311151            0.311150           0.43                 401           124
0.02          3                  1                  0    2        256       0         1         0         3         0         0         40960       0           1           .000223      NA          .021242           .029688             .029688            .042500              639           851
0.02          3                  1                  0    2        256       0         1         0         3         0         0         40960       0           2           .000086      NA          .011881           .021252             .021252            .029444              639           1859
1.45          231                1                  0    2        256       0         1         0         4         0         0         40960       0           0           0.001649     NA          0.157602          0.290335            0.290335           0.40                 400           133
0.02          3                  1                  0    2        256       0         1         0         4         0         0         40960       0           1           .000198      NA          .015968           .026645             .026645            .038333              558           785
