nodes;program;c.domain;adv.model;protocol;partysize;latencies(ms);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;0;30;1.9351;NA;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;5;30;147.061;NA;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;10;30;287.889;NA;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;15;30;428.302;NA;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;20;30;568.866;NA;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;25;30;709.723;NA;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;30;30;850.229;NA;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;35;30;990.808;NA;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;40;30;1131.29;NA;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;45;30;1271.82;NA;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;50;30;1412.4;NA;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;3;0;30;8.79174;NA;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;3;5;30;160.942;NA;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;3;10;30;307.917;NA;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;3;15;30;453.948;NA;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;3;20;30;599.985;NA;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;3;25;30;746.498;NA;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;3;30;30;892.845;NA;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;3;35;30;1039.03;NA;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;3;40;30;1185.54;NA;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;3;45;30;1331.98;NA;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;3;50;30;1478.4;NA;NA;545.695;NA
