nodes;program;c.domain;adv.model;protocol;partysize;comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;latencies(ms);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;1920;1920;1920;NA;NA;244170;19141;0;30;1.9351;NA;NA;29.5907;NA;7.81392;28080;0.513694;7.81392;28080;2.56117;NA;NA;NA;3.2e-05;1;1.92993;NA;NA;NA;NA;NA;NA;0.008542;6;0.00421067;21.7682;4;3.30604;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;30;147.061;NA;NA;29.5907;NA;7.81392;28080;0.440904;7.81392;28080;292.496;NA;NA;NA;3.2e-05;1;147.056;NA;NA;NA;NA;NA;NA;0.008542;6;0.0234233;21.7682;4;293.426;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;30;287.889;NA;NA;29.5907;NA;7.81392;28080;0.449099;7.81392;28080;573.905;NA;NA;NA;3.2e-05;1;287.883;NA;NA;NA;NA;NA;NA;0.008542;6;0.0411145;21.7682;4;575.065;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15;30;428.302;NA;NA;29.5907;NA;7.81392;28080;0.459953;7.81392;28080;854.432;NA;NA;NA;3.2e-05;1;428.296;NA;NA;NA;NA;NA;NA;0.008542;6;0.0607625;21.7682;4;855.843;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20;30;568.866;NA;NA;29.5907;NA;7.81392;28080;0.468106;7.81392;28080;1135.27;NA;NA;NA;3.2e-05;1;568.86;NA;NA;NA;NA;NA;NA;0.008542;6;0.0808442;21.7682;4;1136.92;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25;30;709.723;NA;NA;29.5907;NA;7.81392;28080;0.485041;7.81392;28080;1416.73;NA;NA;NA;3.2e-05;1;709.718;NA;NA;NA;NA;NA;NA;0.008542;6;0.100913;21.7682;4;1418.64;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;30;850.229;NA;NA;29.5907;NA;7.81392;28080;0.493947;7.81392;28080;1697.44;NA;NA;NA;3.2e-05;1;850.224;NA;NA;NA;NA;NA;NA;0.008542;6;0.120751;21.7682;4;1699.58;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;35;30;990.808;NA;NA;29.5907;NA;7.81392;28080;0.499917;7.81392;28080;1978.35;NA;NA;NA;3.2e-05;1;990.803;NA;NA;NA;NA;NA;NA;0.008542;6;0.140741;21.7682;4;1980.69;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40;30;1131.29;NA;NA;29.5907;NA;7.81392;28080;0.511069;7.81392;28080;2259.01;NA;NA;NA;3.2e-05;1;1131.28;NA;NA;NA;NA;NA;NA;0.008542;6;0.160821;21.7682;4;2261.62;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45;30;1271.82;NA;NA;29.5907;NA;7.81392;28080;0.524317;7.81392;28080;2539.79;NA;NA;NA;3.2e-05;1;1271.81;NA;NA;NA;NA;NA;NA;0.008542;6;0.180719;21.7682;4;2542.61;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50;30;1412.4;NA;NA;29.5907;NA;7.81392;28080;0.531602;7.81392;28080;2820.7;NA;NA;NA;3.2e-05;1;1412.4;NA;NA;NA;NA;NA;NA;0.008542;6;0.200898;21.7682;4;2823.75;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;3;NA;NA;NA;1920;1920;1920;NA;NA;244170;19141;0;30;8.79174;NA;NA;545.695;NA;20.6364;28254;0.5184;20.6403;28256;9.87123;0.004584;185;0.233117;9.6e-05;3;8.74631;NA;NA;NA;NA;NA;NA;0.008542;6;0.000466219;524.714;1024;1.6218;0.323584;2;17.4998;0.323584;2;17.5159;0.00192;1;8.74319
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;30;160.942;NA;NA;545.695;NA;20.6364;28254;0.47392;20.6403;28256;307.532;0.004584;185;1.32726;9.6e-05;3;160.68;NA;NA;NA;NA;NA;NA;0.008542;6;0.0271326;524.714;1024;14.0934;0.323584;2;321.473;0.323584;2;321.687;0.00192;1;160.625
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;30;307.917;NA;NA;545.695;NA;20.6364;28254;0.505243;20.6403;28256;595.696;0.004584;185;2.38336;9.6e-05;3;307.449;NA;NA;NA;NA;NA;NA;0.008542;6;0.0406506;524.714;1024;27.3456;0.323584;2;615.121;0.323584;2;615.536;0.00192;1;307.345
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15;30;453.948;NA;NA;545.695;NA;20.6364;28254;0.543651;20.6403;28256;882.555;0.004584;185;3.48611;9.6e-05;3;453.277;NA;NA;NA;NA;NA;NA;0.008542;6;0.0609629;524.714;1024;40.3144;0.323584;2;906.887;0.323584;2;907.502;0.00192;1;453.123
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20;30;599.985;NA;NA;545.695;NA;20.6364;28254;0.567558;20.6403;28256;1169.58;0.004584;185;4.50532;9.6e-05;3;599.11;NA;NA;NA;NA;NA;NA;0.008542;6;0.0807689;524.714;1024;53.5481;0.323584;2;1198.66;0.323584;2;1199.48;0.00192;1;598.906
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25;30;746.498;NA;NA;545.695;NA;20.6364;28254;0.598422;20.6403;28256;1457.37;0.004584;185;5.4951;9.6e-05;3;745.418;NA;NA;NA;NA;NA;NA;0.008542;6;0.10111;524.714;1024;66.6632;0.323584;2;1491.39;0.323584;2;1492.4;0.00192;1;745.164
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;30;892.845;NA;NA;545.695;NA;20.6364;28254;0.626541;20.6403;28256;1744.65;0.004584;185;6.5266;9.6e-05;3;891.559;NA;NA;NA;NA;NA;NA;0.008542;6;0.120726;524.714;1024;80.019;0.323584;2;1783.78;0.323584;2;1784.99;0.00192;1;891.255
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;35;30;1039.03;NA;NA;545.695;NA;20.6364;28254;0.656317;20.6403;28256;2031.78;0.004584;185;7.6114;9.6e-05;3;1037.54;NA;NA;NA;NA;NA;NA;0.008542;6;0.140702;524.714;1024;93.0904;0.323584;2;2075.85;0.323584;2;2077.26;0.00192;1;1037.18
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40;30;1185.54;NA;NA;545.695;NA;20.6364;28254;0.681396;20.6403;28256;2319.24;0.004584;185;8.62273;9.6e-05;3;1183.8;NA;NA;NA;NA;NA;NA;0.008542;6;0.160804;524.714;1024;107.088;0.323584;2;2368.56;0.323584;2;2370.18;0.00192;1;1183.39
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45;30;1331.98;NA;NA;545.695;NA;20.6364;28254;0.720418;20.6403;28256;2606.62;0.004584;185;9.70199;9.6e-05;3;1330.08;NA;NA;NA;NA;NA;NA;0.008542;6;0.181004;524.714;1024;119.973;0.323584;2;2661.15;0.323584;2;2662.97;0.00192;1;1329.63
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50;30;1478.4;NA;NA;545.695;NA;20.6364;28254;0.743049;20.6403;28256;2894.05;0.004584;185;10.7483;9.6e-05;3;1476.3;NA;NA;NA;NA;NA;NA;0.008542;6;0.200856;524.714;1024;133.861;0.323584;2;2953.7;0.323584;2;2955.72;0.00192;1;1475.8
