comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.48;242;1;1;1;128;1;0;1;4096;0;0;0.001867;NA;0.062197;0.049896;0.049895;0.07;39;121
0.01;3;1;1;1;128;1;0;1;4096;0;1;.000287;NA;.008960;.007471;.007471;0.08;39;562
0.01;3;1;1;1;128;1;0;1;4096;0;2;.000096;NA;.002430;.001844;.001844;0.07;42;1693
1.50;242;1;1;1;128;1;0;1;40960;0;0;0.007436;NA;0.356493;0.232450;0.232449;0.33;324;135
0.01;3;1;1;1;128;1;0;1;40960;0;1;.001249;NA;.055634;.040715;.040715;0.35;325;713
0.01;3;1;1;1;128;1;0;1;40960;0;2;.000431;NA;.021921;.019194;.019194;0.47;325;1905
1.45;242;1;1;1;128;1;0;1;409600;0;0;0.073580;NA;2.832805;2.073565;2.073564;2.63;3182;128
0.01;3;1;1;1;128;1;0;1;409600;0;1;.012524;NA;.535291;.402832;.402832;3.04;3186;753
0.02;3;1;1;1;128;1;0;1;409600;0;2;.004362;NA;.229731;.202123;.202123;4.35;3182;1975
1.48;240;1;1;1;128;1;0;2;4096;0;0;0.001892;NA;0.060617;0.050461;0.050460;0.08;39;114
0.02;3;1;1;1;128;1;0;2;4096;0;1;.000344;NA;.006789;.007032;.007031;0.09;39;471
0.01;3;1;1;1;128;1;0;2;4096;0;2;.000118;NA;.001523;.001579;.001579;0.06;39;1526
1.46;240;1;1;1;128;1;0;2;40960;0;0;0.007127;NA;0.303455;0.248662;0.248662;0.33;325;116
0.02;3;1;1;1;128;1;0;2;40960;0;1;.001300;NA;.046025;.043476;.043476;0.36;326;602
0.01;3;1;1;1;128;1;0;2;40960;0;2;.000518;NA;.018460;.018007;.018007;0.43;326;1778
1.49;240;1;1;1;128;1;0;2;409600;0;0;0.070935;NA;2.500698;2.103619;2.103618;2.66;3194;114
0.02;3;1;1;1;128;1;0;2;409600;0;1;.012795;NA;.401400;.382767;.382767;2.93;3195;611
0.02;3;1;1;1;128;1;0;2;409600;0;2;.005364;NA;.192623;.194625;.194625;4.23;3196;1758
1.45;239;1;1;1;128;1;0;3;4096;0;0;0.000638;NA;0.044255;0.051487;0.051486;0.08;27;86
0.01;3;1;1;1;128;1;0;3;4096;0;1;.000114;NA;.005177;.006263;.006262;0.08;39;417
0.02;3;1;1;1;128;1;0;3;4096;0;2;.000038;NA;.001318;.001693;.001693;0.06;39;1301
1.48;240;1;1;1;128;1;0;3;40960;0;0;0.002310;NA;0.194593;0.261273;0.261272;0.36;206;80
0.01;3;1;1;1;128;1;0;3;40960;0;1;.000442;NA;.036710;.044713;.044713;0.38;325;480
0.02;3;1;1;1;128;1;0;3;40960;0;2;.000152;NA;.013949;.016048;.016048;0.39;325;1523
1.46;241;1;1;1;128;1;0;3;409600;0;0;0.017744;NA;1.572983;2.084315;2.084314;2.60;2001;79
0.01;3;1;1;1;128;1;0;3;409600;0;1;.004097;NA;.310484;.373342;.373342;2.83;3188;507
0.01;3;1;1;1;128;1;0;3;409600;0;2;.001426;NA;.144590;.166758;.166757;3.67;3188;1576
1.47;240;1;1;1;128;1;0;4;4096;0;0;0.000430;NA;0.037604;0.050433;0.050432;0.08;27;79
0.02;3;1;1;1;128;1;0;4;4096;0;1;.000100;NA;.005003;.005939;.005939;0.06;35;501
0.02;3;1;1;1;128;1;0;4;4096;0;2;.000033;NA;.001453;.001674;.001674;0.07;35;1245
1.48;239;1;1;1;128;1;0;4;40960;0;0;0.001645;NA;0.193133;0.236713;0.236712;0.32;206;85
0.02;3;1;1;1;128;1;0;4;40960;0;1;.000422;NA;.035900;.041238;.041238;0.36;284;495
0.02;3;1;1;1;128;1;0;4;40960;0;2;.000144;NA;.011462;.014547;.014547;0.38;284;1354
1.47;241;1;1;1;128;1;0;4;409600;0;0;0.020528;NA;1.456281;2.016421;2.016420;2.52;1994;77
0.01;3;1;1;1;128;1;0;4;409600;0;1;.003819;NA;.284858;.344088;.344088;2.66;2782;503
0.02;3;1;1;1;128;1;0;4;409600;0;2;.001322;NA;.115019;.142655;.142655;3.22;2782;1479
1.45;240;1;1;1;128;1;0;5;4096;0;0;0.000642;NA;0.044846;0.052206;0.052205;0.08;31;92
0.02;3;1;1;1;128;1;0;5;4096;0;1;.000119;NA;.006529;.007909;.007909;0.08;35;516
0.02;3;1;1;1;128;1;0;5;4096;0;2;.000034;NA;.001267;.001542;.001542;0.06;35;1365
1.47;241;1;1;1;128;1;0;5;40960;0;0;0.002312;NA;0.208436;0.249182;0.249181;0.34;246;86
0.01;3;1;1;1;128;1;0;5;40960;0;1;.000448;NA;.037294;.043079;.043079;0.36;285;502
0.02;3;1;1;1;128;1;0;5;40960;0;2;.000150;NA;.013862;.015730;.015730;0.41;285;1466
1.48;242;1;1;1;128;1;0;5;409600;0;0;0.017750;NA;1.656585;2.074332;2.074331;2.59;2401;83
0.02;3;1;1;1;128;1;0;5;409600;0;1;.004075;NA;.309067;.361015;.361015;2.73;2788;523
0.02;3;1;1;1;128;1;0;5;409600;0;2;.001440;NA;.136987;.163287;.163287;3.60;2788;1529
1.46;240;1;1;1;128;1;0;6;4096;0;0;0.000103;NA;0.013407;0.013484;0.013483;0.04;23;77
0.02;3;1;1;1;128;1;0;6;4096;0;1;.000028;NA;.001886;.002239;.002239;0.04;23;517
0.01;3;1;1;1;128;1;0;6;4096;0;2;.000006;NA;.000422;.000571;.000571;0.05;23;1016
1.44;239;1;1;1;128;1;0;6;40960;0;0;0.000926;NA;0.123935;0.093970;0.093969;0.18;167;116
0.02;3;1;1;1;128;1;0;6;40960;0;1;.000105;NA;.010450;.013747;.013747;0.20;167;430
0.02;3;1;1;1;128;1;0;6;40960;0;2;.000035;NA;.003596;.004606;.004606;0.19;167;1437
1.43;239;1;1;1;128;1;0;6;409600;0;0;0.008961;NA;0.943136;0.744403;0.744402;1.24;1607;116
0.01;3;1;1;1;128;1;0;6;409600;0;1;.001307;NA;.110661;.132383;.132383;1.35;1607;520
0.02;3;1;1;1;128;1;0;6;409600;0;2;.000457;NA;.056311;.060588;.060588;1.78;1607;1652
1.52;246;1;1;1;256;1;0;1;4096;0;0;0.002034;NA;0.095105;0.067278;0.067277;0.11;70;122
0.02;3;1;1;1;256;1;0;1;4096;0;1;.000270;NA;.014880;.010535;.010535;0.11;71;638
0.01;3;1;1;1;256;1;0;1;4096;0;2;.000101;NA;.003869;.002927;.002927;0.11;71;1788
1.50;246;1;1;1;256;1;0;1;40960;0;0;0.007456;NA;0.557021;0.341115;0.341114;0.46;642;141
0.01;3;1;1;1;256;1;0;1;40960;0;1;.001252;NA;.101832;.063641;.063641;0.52;642;846
0.01;3;1;1;1;256;1;0;1;40960;0;2;.000437;NA;.037780;.033568;.033568;0.78;647;1876
1.50;245;1;1;1;256;1;0;1;409600;0;0;0.073924;NA;4.461248;3.043062;3.043061;3.87;6357;136
0.02;3;1;1;1;256;1;0;1;409600;0;1;.012606;NA;.866325;.623857;.623857;4.72;6357;771
0.01;3;1;1;1;256;1;0;1;409600;0;2;.004399;NA;.389564;.344034;.344034;7.34;6357;1972
1.50;247;1;1;1;256;1;0;2;4096;0;0;0.001830;NA;0.076770;0.061513;0.061512;0.10;71;116
0.01;3;1;1;1;256;1;0;2;4096;0;1;.000358;NA;.007667;.008535;.008535;0.10;71;467
0.02;3;1;1;1;256;1;0;2;4096;0;2;.000128;NA;.002580;.002774;.002774;0.10;71;1419
1.48;244;1;1;1;256;1;0;2;40960;0;0;0.006682;NA;0.504426;0.395433;0.395432;0.53;644;119
0.02;3;1;1;1;256;1;0;2;40960;0;1;.001677;NA;.071529;.065596;.065596;0.55;645;601
0.01;3;1;1;1;256;1;0;2;40960;0;2;.000709;NA;.029618;.029378;.029378;0.71;645;1680
1.52;245;1;1;1;256;1;0;2;409600;0;0;0.070771;NA;3.632031;2.954615;2.954614;3.81;6382;116
0.01;3;1;1;1;256;1;0;2;409600;0;1;.016563;NA;.579742;.541080;.541080;4.35;6382;604
0.02;3;1;1;1;256;1;0;2;409600;0;2;.007703;NA;.281108;.289649;.289648;6.44;6382;1714
1.48;243;1;1;1;256;1;0;3;4096;0;0;0.000511;NA;0.051694;0.068819;0.068818;0.10;47;83
0.01;3;1;1;1;256;1;0;3;4096;0;1;.000099;NA;.009392;.010739;.010739;0.10;71;517
0.02;3;1;1;1;256;1;0;3;4096;0;2;.000031;NA;.002240;.002710;.002710;0.09;71;1409
1.49;244;1;1;1;256;1;0;3;40960;0;0;0.001803;NA;0.258180;0.401263;0.401262;0.53;406;66
0.02;3;1;1;1;256;1;0;3;40960;0;1;.000415;NA;.054338;.066651;.066651;0.55;643;481
0.02;3;1;1;1;256;1;0;3;40960;0;2;.000142;NA;.022383;.025741;.025740;0.62;643;1493
1.52;244;1;1;1;256;1;0;3;409600;0;0;0.017746;NA;2.001732;3.072875;3.072874;3.87;3994;72
0.01;3;1;1;1;256;1;0;3;409600;0;1;.004093;NA;.463199;.519158;.519158;4.02;6369;544
0.02;3;1;1;1;256;1;0;3;409600;0;2;.001443;NA;.223092;.246129;.246129;5.54;6370;1625
1.49;244;1;1;1;256;1;0;4;4096;0;0;0.000496;NA;0.052189;0.063330;0.063329;0.09;47;87
0.01;3;1;1;1;256;1;0;4;4096;0;1;.000087;NA;.007905;.009356;.009356;0.10;62;494
0.01;3;1;1;1;256;1;0;4;4096;0;2;.000028;NA;.001931;.002362;.002362;0.09;63;1318
1.48;243;1;1;1;256;1;0;4;40960;0;0;0.001881;NA;0.255133;0.365491;0.365490;0.49;404;76
0.02;3;1;1;1;256;1;0;4;40960;0;1;.000374;NA;.051438;.060795;.060795;0.54;562;473
0.02;3;1;1;1;256;1;0;4;40960;0;2;.000127;NA;.018418;.022412;.022412;0.56;562;1438
1.50;243;1;1;1;256;1;0;4;409600;0;0;0.018168;NA;1.950701;2.666478;2.666477;3.46;3982;79
0.01;3;1;1;1;256;1;0;4;409600;0;1;.004425;NA;.414276;.469736;.469736;3.72;5557;535
0.01;3;1;1;1;256;1;0;4;409600;0;2;.001546;NA;.172134;.210733;.210733;4.87;5557;1509
1.51;245;1;1;1;256;1;0;5;4096;0;0;0.000471;NA;0.055215;0.064620;0.064619;0.10;55;85
0.02;3;1;1;1;256;1;0;5;4096;0;1;.000099;NA;.008475;.009391;.009391;0.09;63;530
0.02;3;1;1;1;256;1;0;5;4096;0;2;.000026;NA;.002084;.002561;.002561;0.09;63;1405
1.49;243;1;1;1;256;1;0;5;40960;0;0;0.001801;NA;0.216542;0.386014;0.386013;0.50;486;66
