nodes;program;c.domain;adv.model;protocol;partysize;input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;50;1.38177;NA;~10071;41.1751;123.445
todd,ned,rod;35_set_intersection;FIELD;maldishonest;mascot;3;500;49.3426;NA;~1000815;1040.17;3112.52
todd,ned,rod;35_set_intersection;FIELD;maldishonest;lowgear;3;50;506.279;NA;~10055;1.75922;5.19756
todd,ned,rod;35_set_intersection;FIELD;maldishonest;lowgear;3;500;57.6341;NA;~1000985;64.8184;186.452
todd,ned,rod;35_set_intersection;FIELD;maldishonest;highgear;3;50;1095.47;NA;~10066;107.239;321.642
todd,ned,rod;35_set_intersection;FIELD;maldishonest;highgear;3;500;98.1794;NA;~1000150;337.194;1003.58
todd,ned,rod;35_set_intersection;FIELD;covertdishonest;cowgear;3;50;6.95606;NA;~10055;1.75922;5.19756
todd,ned,rod;35_set_intersection;FIELD;covertdishonest;cowgear;3;500;55.9269;NA;~1000985;64.8184;186.452
todd,ned,rod;35_set_intersection;FIELD;covertdishonest;chaigear;3;50;70.8506;NA;~10066;107.241;321.644
todd,ned,rod;35_set_intersection;FIELD;covertdishonest;chaigear;3;500;96.2748;NA;~1000150;337.194;1003.58
todd,ned,rod;35_set_intersection;FIELD;semidishonest;semi;3;50;0.254417;NA;~10000;0.08;0.16
todd,ned,rod;35_set_intersection;FIELD;semidishonest;semi;3;500;30.0785;NA;~1000000;8;16
todd,ned,rod;35_set_intersection;FIELD;semidishonest;hemi;3;50;0.279201;NA;~10000;0.08;0.16
todd,ned,rod;35_set_intersection;FIELD;semidishonest;hemi;3;500;29.0823;NA;~1000000;8;16
todd,ned,rod;35_set_intersection;FIELD;semidishonest;temi;3;50;0.246803;NA;~10000;0.08;0.16
todd,ned,rod;35_set_intersection;FIELD;semidishonest;temi;3;500;22.634;NA;~1000000;8;16
todd,ned,rod;35_set_intersection;FIELD;semidishonest;soho;3;50;0.252607;NA;~10000;0.08;0.16
todd,ned,rod;35_set_intersection;FIELD;semidishonest;soho;3;500;29.0675;NA;~1000000;8;16
todd,ned,rod;35_set_intersection;FIELD;malhonest;malicious-shamir;3;50;0.253937;NA;~2501;0.16;0.48
todd,ned,rod;35_set_intersection;FIELD;malhonest;malicious-shamir;3;500;36.7009;NA;~250001;16;48
todd,ned,rod;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;50;0.215568;NA;~2503;0.080128;0.240384
todd,ned,rod;35_set_intersection;FIELD;malhonest;malicious-rep-field;3;500;29.1938;NA;~250003;8.00013;24.0004
todd,ned,rod;35_set_intersection;FIELD;malhonest;ps-rep-field;3;50;0.19881;NA;~2503;0.080128;0.240384
todd,ned,rod;35_set_intersection;FIELD;malhonest;ps-rep-field;3;500;29.214;NA;~250003;8.00013;24.0004
todd,ned,rod;35_set_intersection;FIELD;malhonest;sy-rep-field;3;50;0.201681;NA;~2508;0.200256;0.600768
todd,ned,rod;35_set_intersection;FIELD;malhonest;sy-rep-field;3;500;30.2865;NA;~250008;20.0003;60.0008
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;50;0.533269;NA;~5001;0.16;0.36
todd,ned,rod;35_set_intersection;FIELD;semihonest;shamir;3;500;59.7984;NA;~500001;16;36
todd,ned,rod;35_set_intersection;FIELD;semihonest;atlas;3;50;0.534846;NA;~5012;1.6;3.24
todd,ned,rod;35_set_intersection;FIELD;semihonest;atlas;3;500;64.3573;NA;~500228;52;108
todd,ned,rod;35_set_intersection;FIELD;semihonest;replicated-field;3;50;0.31265;NA;~2501;0.08;0.24
todd,ned,rod;35_set_intersection;FIELD;semihonest;replicated-field;3;500;28.4924;NA;~250001;8;24
todd,ned,rod;35_set_intersection;RING;maldishonest;spdz2k;3;50;1.20265;NA;~10093;20.7581;62.1943
todd,ned,rod;35_set_intersection;RING;maldishonest;spdz2k;3;500;69.0344;NA;~1002298;1042.83;3120.5
todd,ned,rod;35_set_intersection;RING;semidishonest;semi2k;3;50;0.253288;NA;~10000;0.04;0.08
todd,ned,rod;35_set_intersection;RING;semidishonest;semi2k;3;500;22.5804;NA;~1000000;4;8
todd,ned,rod;35_set_intersection;RING;malhonest;brain;3;50;0.161245;NA;~2503;0.040128;0.120384
todd,ned,rod;35_set_intersection;RING;malhonest;brain;3;500;28.4453;NA;~250003;4.00013;12.0004
todd,ned,rod;35_set_intersection;RING;malhonest;malicious-rep-ring;3;50;0.225407;NA;~2503;0.040128;0.120384
todd,ned,rod;35_set_intersection;RING;malhonest;malicious-rep-ring;3;500;28.544;NA;~250003;4.00013;12.0004
todd,ned,rod;35_set_intersection;RING;malhonest;ps-rep-ring;3;50;0.16999;NA;~2503;0.040128;0.120384
