comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  datatype  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
2.76          224                1                  0    128       1         0         1         4096        0           0           0.005972     NA          0.063826          0.057251            0.057250           0.08                 35            108
2.77          224                1                  0    128       1         0         1         4096        0           1           0.009574     NA          .007652           .012183             .012182            0.11                 35            180
2.77          224                1                  0    128       1         0         1         8192        0           0           0.012456     NA          0.121567          0.105395            0.105394           0.14                 67            110
2.77          224                1                  0    128       1         0         1         8192        0           1           0.022465     NA          0.183857          .026370             .026370            0.22                 67            481
2.77          224                1                  0    128       1         0         1         12288       0           0           0.017113     NA          0.174187          0.152614            0.152613           0.21                 99            105
2.76          223                1                  0    128       1         0         1         12288       0           1           .004491      NA          .038637           .039110             .039110            0.32                 99            290
2.76          223                1                  0    128       1         0         1         16384       0           0           0.021200     NA          0.232599          0.204215            0.204215           0.27                 130           107
2.80          224                1                  0    128       1         0         1         16384       0           1           .005112      NA          .050944           .051551             .051550            0.42                 130           193
2.77          224                1                  0    128       1         0         1         20480       0           0           0.026504     NA          0.304877          0.253284            0.253283           0.32                 162           116
2.77          223                1                  0    128       1         0         1         20480       0           1           .008059      NA          .063945           .066157             .066157            0.53                 162           287
2.78          223                1                  0    128       1         0         1         24576       0           0           0.030762     NA          0.351584          0.299399            0.299398           0.38                 195           113
2.77          224                1                  0    128       1         0         1         24576       0           1           0.064239     NA          .065024           .078114             .078114            0.61                 194           193
2.76          224                1                  0    128       1         0         1         28672       0           0           0.035304     NA          0.436409          0.359854            0.359853           0.45                 226           116
2.77          222                1                  0    128       1         0         1         28672       0           1           .010335      NA          .090172           .089811             .089811            0.72                 226           385
2.76          223                1                  0    128       1         0         1         32768       0           0           0.039956     NA          0.450702          0.396137            0.396136           0.51                 259           108
2.77          223                1                  0    128       1         0         1         32768       0           1           0.051136     NA          .102741           .104463             .104463            0.81                 257           104
2.77          224                1                  0    128       1         0         1         36864       0           0           0.044819     NA          0.527789          0.461382            0.461381           0.58                 289           110
2.77          223                1                  0    128       1         0         1         36864       0           1           .013809      NA          .116520           .117916             .117916            0.92                 292           277
2.76          223                1                  0    128       1         0         1         40960       0           0           0.049990     NA          0.572713          0.491448            0.491447           0.62                 321           113
2.76          223                1                  0    128       1         0         1         40960       0           1           .014991      NA          .127597           .131223             .131223            1.04                 321           284
2.73          223                1                  0    128       1         0         2         4096        0           0           0.007479     NA          0.057222          0.060142            0.060141           0.08                 39            93
2.73          223                1                  0    128       1         0         2         4096        0           1           0.015722     NA          .009582           .013302             .013302            0.12                 35            329
2.73          223                1                  0    128       1         0         2         8192        0           0           0.021240     NA          0.106518          0.113031            0.113030           0.15                 75            95
2.74          223                1                  0    128       1         0         2         8192        0           1           .004255      NA          .023184           .025702             .025702            0.23                 75            511
2.72          223                1                  0    128       1         0         2         12288       0           0           0.030969     NA          0.158691          0.162150            0.162149           0.22                 111           97
2.73          222                1                  0    128       1         0         2         12288       0           1           0.046048     NA          .011883           .040061             .040061            0.33                 99            87
2.74          223                1                  0    128       1         0         2         16384       0           0           0.039478     NA          0.199612          0.212047            0.212046           0.29                 147           95
2.75          222                1                  0    128       1         0         2         16384       0           1           0.061702     NA          0.316229          0.341358            .034015            0.44                 147           253
2.74          222                1                  0    128       1         0         2         20480       0           0           0.048497     NA          0.260978          0.261383            0.261382           0.35                 183           99
2.73          222                1                  0    128       1         0         2         20480       0           1           0.077947     NA          0.376241          0.428773            0.428772           0.54                 163           166
2.74          222                1                  0    128       1         0         2         24576       0           0           0.056507     NA          0.290466          0.318760            0.318759           0.42                 219           93
2.73          223                1                  0    128       1         0         2         24576       0           1           .012216      NA          .068846           .079895             .079895            0.68                 219           254
2.73          223                1                  0    128       1         0         2         28672       0           0           0.067926     NA          0.349207          0.367885            0.367884           0.49                 254           96
2.72          223                1                  0    128       1         0         2         28672       0           1           0.108902     NA          0.492065          0.575010            0.575009           0.76                 254           273
2.73          223                1                  0    128       1         0         2         32768       0           0           0.077660     NA          0.405167          0.427721            0.427720           0.57                 290           95
2.73          223                1                  0    128       1         0         2         32768       0           1           0.099075     NA          0.559672          0.641491            0.641490           0.83                 258           90
2.74          222                1                  0    128       1         0         2         36864       0           0           0.085900     NA          0.453666          0.464013            0.464012           0.61                 326           98
2.72          223                1                  0    128       1         0         2         36864       0           1           .018808      NA          .102544           .121613             .121613            1.00                 326           339
2.74          222                1                  0    128       1         0         2         40960       0           0           0.093569     NA          0.489259          0.507240            0.507239           0.67                 362           97
2.74          223                1                  0    128       1         0         2         40960       0           1           .015995      NA          .125787           .130455             .130455            1.08                 362           457
2.70          221                1                  0    128       1         0         3         4096        0           0           0.006933     NA          0.043719          0.070674            0.070673           0.09                 27            67
2.72          226                1                  0    128       1         0         3         4096        0           1           .002294      NA          .008484           .012387             .012386            0.12                 39            360
2.70          223                1                  0    128       1         0         3         8192        0           0           0.016212     NA          0.086492          0.130493            0.130492           0.18                 51            70
2.70          222                1                  0    128       1         0         3         8192        0           1           .003953      NA          .017334           .024063             .024063            0.21                 75            234
2.69          221                1                  0    128       1         0         3         12288       0           0           0.028177     NA          0.128472          0.185986            0.185985           0.25                 75            75
2.69          222                1                  0    128       1         0         3         12288       0           1           0.047246     NA          .023254           .034856             .034856            0.31                 111           334
2.70          221                1                  0    128       1         0         3         16384       0           0           0.035404     NA          0.170310          0.242738            0.242737           0.32                 99            74
2.73          222                1                  0    128       1         0         3         16384       0           1           .007521      NA          .034910           .047297             .047297            0.42                 147           383
2.70          221                1                  0    128       1         0         3         20480       0           0           0.044885     NA          0.209124          0.302839            0.302838           0.39                 123           75
2.72          221                1                  0    128       1         0         3         20480       0           1           .011648      NA          .046862           .060807             .060807            0.53                 183           480
2.71          222                1                  0    128       1         0         3         24576       0           0           0.053438     NA          0.250855          0.369565            0.369564           0.48                 147           74
2.70          223                1                  0    128       1         0         3         24576       0           1           .012127      NA          .053353           .071033             .071033            0.61                 NA            241
2.69          222                1                  0    128       1         0         3         28672       0           0           0.060836     NA          0.289999          0.423776            0.423775           0.55                 171           73
2.70          222                1                  0    128       1         0         3         28672       0           1           0.105053     NA          .051696           .081804             .081804            0.70                 254           166
2.74          222                1                  0    128       1         0         3         32768       0           0           0.070161     NA          0.333409          0.493366            0.493365           0.63                 195           74
2.70          221                1                  0    128       1         0         3         32768       0           1           .018417      NA          .073744           .094291             .094291            0.82                 290           406
2.69          221                1                  0    128       1         0         3         36864       0           0           0.077949     NA          0.374774          0.540953            0.540952           0.70                 219           74
2.70          222                1                  0    128       1         0         3         36864       0           1           0.089869     NA          0.483708          0.675513            0.675511           0.90                 326           162
2.71          222                1                  0    128       1         0         3         40960       0           0           0.086755     NA          0.414699          0.585866            0.585865           0.75                 243           77
2.71          222                1                  0    128       1         0         3         40960       0           1           0.162076     NA          0.594448          0.737090            .099079            1.01                 361           244
2.70          225                1                  0    128       1         0         4         4096        0           0           0.005592     NA          0.041023          0.065659            0.065658           0.09                 27            66
2.69          220                1                  0    128       1         0         4         4096        0           1           0.009383     NA          .007672           .010878             .010878            0.11                 35            213
2.70          220                1                  0    128       1         0         4         8192        0           0           0.016442     NA          0.093699          0.126451            0.126450           0.17                 51            76
2.70          221                1                  0    128       1         0         4         8192        0           1           .003014      NA          .017331           .022071             .022071            0.20                 67            238
2.67          220                1                  0    128       1         0         4         12288       0           0           0.026174     NA          0.133936          0.174759            0.174758           0.23                 75            80
2.69          221                1                  0    128       1         0         4         12288       0           1           NA           .024783     .033301           .033301             2.69               99                   320
2.68          222                1                  0    128       1         0         4         16384       0           0           0.034764     NA          0.179018          0.232189            0.232188           0.31                 99            81
2.68          226                1                  0    128       1         0         4         16384       0           1           0.057808     NA          0.215829          0.284471            .044774            0.39                 130           331
2.68          221                1                  0    128       1         0         4         20480       0           0           0.041381     NA          0.217630          0.279647            0.279646           0.36                 123           82
2.68          220                1                  0    128       1         0         4         20480       0           1           0.050246     NA          0.230474          .054643             .054643            0.48                 162           326
2.69          222                1                  0    128       1         0         4         24576       0           0           0.048615     NA          0.261429          0.345729            0.345728           0.46                 147           79
2.67          222                1                  0    128       1         0         4         24576       0           1           0.095219     NA          .040371           .064997             .064997            0.57                 194           396
2.69          221                1                  0    128       1         0         4         28672       0           0           0.055532     NA          0.306564          0.405080            0.405079           0.52                 170           79
2.68          222                1                  0    128       1         0         4         28672       0           1           .015491      NA          .059213           .076043             .076043            0.68                 226           398
2.68          221                1                  0    128       1         0         4         32768       0           0           0.064269     NA          0.342993          0.440469            0.440468           0.57                 194           82
2.68          221                1                  0    128       1         0         4         32768       0           1           0.113713     NA          .065426           .090589             .090589            0.78                 257           314
2.69          222                1                  0    128       1         0         4         36864       0           0           0.070801     NA          0.390109          0.515571            0.515570           0.67                 218           79
2.67          220                1                  0    128       1         0         4         36864       0           1           .016030      NA          .076468           .098579             .098579            0.87                 289           402
2.67          220                1                  0    128       1         0         4         40960       0           0           0.078907     NA          0.431598          0.570449            0.570447           0.73                 242           79
2.69          221                1                  0    128       1         0         4         40960       0           1           0.098453     NA          0.475042          0.682898            .092146            0.95                 321           164
2.72          222                1                  0    128       1         0         5         4096        0           0           0.008633     NA          0.054474          0.073568            0.073567           0.09                 31            80
2.70          223                1                  0    128       1         0         5         4096        0           1           0.017342     NA          .007623           .012076             .012076            0.11                 35            312
2.70          222                1                  0    128       1         0         5         8192        0           0           0.018968     NA          0.095050          0.130226            0.130225           0.18                 59            76
2.72          222                1                  0    128       1         0         5         8192        0           1           .004580      NA          .018721           .024014             .024014            0.22                 67            311
2.72          227                1                  0    128       1         0         5         12288       0           0           0.028539     NA          0.137781          0.184401            0.184400           0.25                 87            80
2.71          228                1                  0    128       1         0         5         12288       0           1           .006981      NA          .027556           .034829             .034829            0.32                 99            482
2.73          221                1                  0    128       1         0         5         16384       0           0           0.036493     NA          0.183780          0.243953            0.243952           0.33                 115           79
2.70          222                1                  0    128       1         0         5         16384       0           1           0.066562     NA          0.185060          0.289742            .046571            0.39                 131           78
2.71          222                1                  0    128       1         0         5         20480       0           0           0.044957     NA          0.221996          0.299657            0.299656           0.39                 143           79
2.70          221                1                  0    128       1         0         5         20480       0           1           0.076675     NA          .037500           .057808             .057808            0.50                 162           328
2.71          222                1                  0    128       1         0         5         24576       0           0           0.053230     NA          0.273113          0.361459            0.361458           0.46                 171           81
2.70          221                1                  0    128       1         0         5         24576       0           1           0.059554     NA          0.337322          0.438026            .045856            0.59                 194           159
2.72          221                1                  0    128       1         0         5         28672       0           0           0.061537     NA          0.312229          0.405760            0.405759           0.52                 199           82
2.71          222                1                  0    128       1         0         5         28672       0           1           .016099      NA          .062281           .080475             .080475            0.71                 226           318
2.71          222                1                  0    128       1         0         5         32768       0           0           0.069994     NA          0.358755          0.484456            0.484455           0.62                 227           79
2.74          222                1                  0    128       1         0         5         32768       0           1           0.129311     NA          0.399655          0.580092            .093618            0.79                 258           172
2.72          221                1                  0    128       1         0         5         36864       0           0           0.078864     NA          0.404162          0.522761            0.522760           0.67                 255           82
2.70          222                1                  0    128       1         0         5         36864       0           1           0.130236     NA          0.441314          0.647809            .103681            0.88                 290           162
2.70          222                1                  0    128       1         0         5         40960       0           0           0.086909     NA          0.449726          0.590144            0.590143           0.76                 283           80
2.72          222                1                  0    128       1         0         5         40960       0           1           .022654      NA          .091454           .115401             .115400            1.00                 321           334
2.67          221                1                  0    128       1         0         6         4096        0           0           0.003835     NA          0.014049          0.016321            0.016320           0.03                 23            90
2.65          220                1                  0    128       1         0         6         4096        0           1           .001231      NA          .002270           .003223             .003223            0.05                 23            387
2.66          220                1                  0    128       1         0         6         8192        0           0           0.010592     NA          0.032474          0.037612            0.037612           0.07                 43            93
2.67          220                1                  0    128       1         0         6         8192        0           1           .001532      NA          .006843           .008303             .008303            0.10                 43            88
2.66          221                1                  0    128       1         0         6         12288       0           0           0.012804     NA          0.046161          0.050372            0.050371           0.10                 63            87
2.66          221                1                  0    128       1         0         6         12288       0           1           NA           .009207     .012749           .012748             0.16               63                   81
2.67          221                1                  0    128       1         0         6         16384       0           0           0.017899     NA          0.061037          0.067257            0.067256           0.13                 83            90
2.66          221                1                  0    128       1         0         6         16384       0           1           .003809      NA          .013682           .016701             .016701            0.20                 83            176
2.66          221                1                  0    128       1         0         6         20480       0           0           0.022292     NA          0.079819          0.090669            0.090668           0.15                 103           92
2.68          222                1                  0    128       1         0         6         20480       0           1           .006447      NA          .015661           .020158             .020158            0.24                 103           216
2.66          221                1                  0    128       1         0         6         24576       0           0           0.026452     NA          0.099007          0.106149            0.106148           0.18                 123           95
2.69          220                1                  0    128       1         0         6         24576       0           1           0.030893     NA          0.083518          .020603             .025378            0.30                 123           334
2.67          222                1                  0    128       1         0         6         28672       0           0           0.029242     NA          0.103165          0.115624            0.115623           0.20                 143           90
2.65          220                1                  0    128       1         0         6         28672       0           1           0.061778     NA          0.187573          0.185321            .028745            0.33                 143           249
2.67          220                1                  0    128       1         0         6         32768       0           0           0.034245     NA          0.118341          0.129448            0.129447           0.22                 163           94
2.65          221                1                  0    128       1         0         6         32768       0           1           .009677      NA          .028662           .032902             .032902            0.39                 163           520
2.65          221                1                  0    128       1         0         6         36864       0           0           0.037798     NA          0.132809          0.145915            0.145914           0.26                 183           93
2.66          220                1                  0    128       1         0         6         36864       0           1           0.080039     NA          0.216519          0.240853            0.240852           0.40                 183           88
2.67          220                1                  0    128       1         0         6         40960       0           0           0.043009     NA          0.147179          0.164235            0.164234           0.28                 203           94
2.66          221                1                  0    128       1         0         6         40960       0           1           0.051209     NA          .029791           .041673             .041673            0.47                 203           188
2.92          236                1                  1    128       1         0         1         4096        0           0           0.004122     NA          0.097963          0.067439            0.067438           0.10                 39            124
2.92          237                1                  1    128       1         0         1         4096        0           1           .001533      NA          .016383           .014727             .014727            0.14                 39            613
2.92          236                1                  1    128       1         0         1         8192        0           0           0.010230     NA          0.201027          0.130183            0.130182           0.18                 70            137
