comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);freqs(GHz);datatype;optshare;packbool;protocol;bandwidths(Mbs);input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.80;216;1;3;512;1;0;1;25000;40960;0;0;0.055725;NA;0.438526;0.338156;0.338155;0.80;1273;111
1.38;215;1;3;512;1;0;1;25000;40960;0;1;.012514;NA;.095555;.098444;.098444;1.38;215;99
1.38;215;1;3;512;1;0;1;24500;40960;0;0;0.056542;NA;0.436131;0.338362;0.338361;0.80;1273;112
1.37;216;1;3;512;1;0;1;24500;40960;0;1;.012507;NA;.097371;.098660;.098660;1.37;216;100
1.37;216;1;3;512;1;0;1;24000;40960;0;0;0.055091;NA;0.435374;0.335053;0.335052;0.79;1275;112
1.38;217;1;3;512;1;0;1;24000;40960;0;1;.011984;NA;.095339;.101169;.101169;1.38;217;99
1.39;217;1;3;512;1;0;1;23500;40960;0;0;0.055206;NA;0.438235;0.333648;0.333648;0.79;1273;113
1.37;217;1;3;512;1;0;1;23500;40960;0;1;.012425;NA;.097750;.100166;.100166;1.37;217;99
1.38;216;1;3;512;1;0;1;23000;40960;0;0;0.055858;NA;0.437142;0.336338;0.336337;0.80;1274;112
1.37;215;1;3;512;1;0;1;23000;40960;0;1;.012298;NA;.094140;.098784;.098784;1.37;215;100
1.38;216;1;3;512;1;0;1;22500;40960;0;0;0.055493;NA;0.430771;0.332353;0.332352;0.79;1273;112
1.37;216;1;3;512;1;0;1;22500;40960;0;1;.011808;NA;.095987;.100690;.100690;1.37;216;99
1.37;216;1;3;512;1;0;1;22000;40960;0;0;0.055848;NA;0.435301;0.334958;0.334957;0.79;1274;112
1.38;217;1;3;512;1;0;1;22000;40960;0;1;.011966;NA;.094452;.096126;.096125;1.38;217;99
1.38;215;1;3;512;1;0;1;21500;40960;0;0;0.056877;NA;0.433066;0.341975;0.341974;0.80;1273;111
1.38;215;1;3;512;1;0;1;21500;40960;0;1;.012378;NA;.094815;.100958;.100957;1.38;215;99
1.37;217;1;3;512;1;0;1;21000;40960;0;0;0.056248;NA;0.433880;0.335374;0.335373;0.79;1274;112
1.37;216;1;3;512;1;0;1;21000;40960;0;1;.011746;NA;.094424;.103500;.103500;1.37;216;99
1.39;216;1;3;512;1;0;1;20500;40960;0;0;0.055901;NA;0.472078;0.342398;0.342397;0.80;1273;116
1.39;216;1;3;512;1;0;1;20500;40960;0;1;.011789;NA;.093760;.101861;.101861;1.39;216;99
1.38;215;1;3;512;1;0;1;20000;40960;0;0;0.055286;NA;0.432908;0.334563;0.334562;0.79;1277;112
1.38;215;1;3;512;1;0;1;20000;40960;0;1;.012324;NA;.093664;.104725;.104725;1.38;215;99
1.37;216;1;3;512;1;0;1;19500;40960;0;0;0.055176;NA;0.435824;0.336459;0.336458;0.79;1274;111
1.38;215;1;3;512;1;0;1;19500;40960;0;1;.011706;NA;.093986;.107219;.107219;1.38;215;99
1.39;215;1;3;512;1;0;1;19000;40960;0;0;0.055934;NA;0.431481;0.339154;0.339154;0.80;1274;111
1.38;216;1;3;512;1;0;1;19000;40960;0;1;.011932;NA;.092282;.105206;.105206;1.38;216;100
1.38;216;1;3;512;1;0;1;18500;40960;0;0;0.055974;NA;0.433568;0.335318;0.335317;0.79;1273;112
1.38;216;1;3;512;1;0;1;18500;40960;0;1;.012395;NA;.093852;.107779;.107779;1.38;216;99
1.37;216;1;3;512;1;0;1;18000;40960;0;0;0.055398;NA;0.430673;0.333385;0.333384;0.79;1274;112
1.37;217;1;3;512;1;0;1;18000;40960;0;1;.011900;NA;.094878;.111402;.111402;1.37;217;100
1.39;216;1;3;512;1;0;1;17500;40960;0;0;0.055476;NA;0.436794;0.344985;0.344984;0.80;1273;111
1.38;215;1;3;512;1;0;1;17500;40960;0;1;.011811;NA;.092527;.111340;.111340;1.38;215;99
1.37;216;1;3;512;1;0;1;17000;40960;0;0;0.056677;NA;0.440660;0.340954;0.340954;0.80;1274;112
1.38;215;1;3;512;1;0;1;17000;40960;0;1;.011916;NA;.091473;.113852;.113852;1.38;215;99
1.38;216;1;3;512;1;0;1;16500;40960;0;0;0.056707;NA;0.434841;0.346808;0.346807;0.81;1274;110
1.37;216;1;3;512;1;0;1;16500;40960;0;1;.012075;NA;.094406;.113816;.113816;1.37;216;100
1.39;216;1;3;512;1;0;1;16000;40960;0;0;0.055942;NA;0.430946;0.351987;0.351986;0.81;1274;109
1.38;215;1;3;512;1;0;1;16000;40960;0;1;.012223;NA;.092535;.117820;.117820;1.38;215;99
1.37;216;1;3;512;1;0;1;15500;40960;0;0;0.054868;NA;0.431075;0.339248;0.339247;0.79;1273;111
1.39;216;1;3;512;1;0;1;15500;40960;0;1;.012360;NA;.091820;.119916;.119916;1.39;216;100
1.37;215;1;3;512;1;0;1;15000;40960;0;0;0.055427;NA;0.432948;0.343451;0.343451;0.80;1275;111
1.37;216;1;3;512;1;0;1;15000;40960;0;1;.012754;NA;.091988;.120037;.120037;1.37;216;100
1.38;215;1;3;512;1;0;1;14500;40960;0;0;0.055420;NA;0.430799;0.351937;0.351937;0.81;1274;109
1.37;215;1;3;512;1;0;1;14500;40960;0;1;.011819;NA;.090857;.122466;.122466;1.37;215;99
1.37;215;1;3;512;1;0;1;14000;40960;0;0;0.056309;NA;0.434080;0.364295;0.364294;0.82;1275;108
