nodes;program;c.domain;adv.model;protocol;partysize;compiletime(s);comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;input_size;runtime_internal(s);runtime_external(s);maxPhyRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;150.88;NA;NA;NA;166400;64;NA;NA;NA;163800;2609;2600;0.155996;1.26;155;91;~10;0.330224;0.657936;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;164.99;NA;NA;NA;179200;64;NA;NA;NA;176400;2809;2800;0.151481;1.27;153;92;~10;0.355624;0.708536;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;173.50;NA;NA;NA;192000;64;NA;NA;NA;189000;3009;3000;0.159014;1.35;154;93;~10;0.381024;0.759136;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;187.33;NA;NA;NA;204800;64;NA;NA;NA;201600;3209;3200;0.17485;1.44;156;92;~10;0.406424;0.809736;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;195.15;NA;NA;NA;217600;64;NA;NA;NA;214200;3409;3400;0.184569;1.53;154;92;~10;0.431824;0.860336;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;208.28;NA;NA;NA;230400;64;NA;NA;NA;226800;3609;3600;0.190885;1.61;162;91;~10;0.457224;0.910936;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;223.53;NA;NA;NA;243200;64;NA;NA;NA;239400;3809;3800;0.188869;1.68;170;90;~10;0.482624;0.961536;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;231.37;NA;NA;NA;256000;64;NA;NA;NA;252000;4009;4000;0.18981;1.71;178;93;~10;0.508024;1.01214;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;243.56;NA;NA;NA;268800;64;NA;NA;NA;264600;4209;4200;0.217127;1.93;294;93;~10;0.533424;1.06274;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;261.14;NA;NA;NA;281600;64;NA;NA;NA;277200;4409;4400;0.228508;2.03;296;93;~10;0.558824;1.11334;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;267.60;NA;NA;NA;294400;64;NA;NA;NA;289800;4609;4600;0.226466;2.03;297;93;~10;0.584224;1.16394;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;283.99;NA;NA;NA;307200;64;NA;NA;NA;302400;4809;4800;0.247519;2.16;294;93;~10;0.609624;1.21454;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;292.29;NA;NA;NA;320000;64;NA;NA;NA;315000;5009;5000;0.239636;2.16;295;94;~10;0.635024;1.26514;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;299.55;NA;NA;NA;332800;64;NA;NA;NA;327600;5209;5200;0.253956;2.30;299;92;~10;0.660424;1.31574;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;311.73;NA;NA;NA;345600;64;NA;NA;NA;340200;5409;5400;0.262833;2.32;299;94;~10;0.685824;1.36634;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;325.54;NA;NA;NA;358400;64;NA;NA;NA;352800;5609;5600;0.257987;2.38;293;95;~10;0.711224;1.41694;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;337.22;NA;NA;NA;371200;64;NA;NA;NA;365400;5809;5800;0.264972;2.45;296;95;~10;0.736624;1.46754;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;350.84;NA;NA;NA;384000;64;NA;NA;NA;378000;6009;6000;0.274552;2.56;297;95;~10;0.762024;1.51814;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;364.34;NA;NA;NA;396800;64;NA;NA;NA;390600;6209;6200;0.289995;2.65;296;94;~10;0.787424;1.56874;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;369.47;NA;NA;NA;409600;64;NA;NA;NA;403200;6409;6400;0.27356;2.65;297;96;~10;0.812824;1.61934;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;384.04;NA;NA;NA;422400;64;NA;NA;NA;415800;6609;6600;0.312003;2.83;298;93;~10;0.838224;1.66994;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;396.68;NA;NA;NA;435200;64;NA;NA;NA;428400;6809;6800;0.3204;2.90;301;95;~10;0.863624;1.72054;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;403.80;NA;NA;NA;448000;64;NA;NA;NA;441000;7009;7000;0.324151;2.97;304;95;~10;0.889024;1.77114;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;415.72;NA;NA;NA;460800;64;NA;NA;NA;453600;7209;7200;0.331323;3.00;310;95;~10;0.914424;1.82174;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;430.31;NA;NA;NA;473600;64;NA;NA;NA;466200;7409;7400;0.31637;3.14;318;92;~10;0.939824;1.87234;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;442.94;NA;NA;NA;486400;64;NA;NA;NA;478800;7609;7600;0.338971;3.14;327;95;~10;0.965224;1.92294;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;453.09;NA;NA;NA;499200;64;NA;NA;NA;491400;7809;7800;0.344421;3.22;335;95;~10;0.990624;1.97354;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;459.01;NA;NA;NA;512000;64;NA;NA;NA;504000;8009;8000;0.361252;3.38;343;93;~10;1.01602;2.02414;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;469.42;NA;NA;NA;524800;64;NA;NA;NA;516600;8209;8200;0.369124;3.54;580;96;~10;1.04142;2.07474;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;487.42;NA;NA;NA;537600;64;NA;NA;NA;529200;8409;8400;0.377908;3.71;578;96;~10;1.06682;2.12534;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;42_scalable_search;FIELD;semihonest;replicated-field;3;505.71;NA;NA;NA;550400;64;NA;NA;NA;541800;8609;8600;0.370686;3.64;578;96;~10;1.09222;2.17594;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
