9000	0.239845
8800	0.246796
8600	0.236129
8400	0.240155
8200	0.244906
8000	0.248174
7800	0.235772
7600	0.234292
7400	0.246976
7200	0.243250
7000	0.252114
6800	0.225244
6600	0.247062
6400	0.244025
6200	0.247879
6000	0.247981
5800	0.233514
5600	0.243801
5400	0.236630
5200	0.258855
5000	0.250192
4800	0.245850
4600	0.252857
4400	0.249829
4200	0.247123
4000	0.255578
3800	0.251886
3600	0.240427
3400	0.242370
3200	0.261031
3000	0.262567
2800	0.260673
2600	0.257426
2400	0.270902
2200	0.275193
2000	0.287011
1800	0.302402
1600	0.322095
1400	0.337845
1200	0.378885
1000	0.436369
800	0.522145
600	0.663716
400	0.958385
