comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.44          232                1                  0    1        256       0         1         0         1         0         0         40960       0           0           0.007584     NA          0.313559          0.264106            0.264105           0.38                 638           111
1.45          232                1                  0    1        256       0         1         0         2         0         0         40960       0           0           0.007136     NA          0.246426          0.246159            0.246159           0.37                 641           97
1.43          232                1                  0    1        256       0         1         0         3         0         0         40960       0           0           0.001801     NA          0.156734          0.270980            0.270979           0.38                 402           69
1.42          232                1                  0    1        256       0         1         0         4         0         0         40960       0           0           0.001789     NA          0.152265          0.241407            0.241406           0.35                 401           73
1.44          232                1                  0    1        256       0         1         0         5         0         0         40960       0           0           0.001817     NA          0.170748          0.253770            0.253769           0.36                 482           75
1.43          231                1                  0    1        256       0         1         0         6         0         0         40960       0           0           0.000923     NA          0.090827          0.104163            0.104162           0.21                 323           91
1.45          232                1                  0    2        256       0         1         0         1         0         0         40960       0           0           .003796      NA          .151297           .134572             .134572            .195000              638           206
1.47          233                1                  0    2        256       0         1         0         2         0         0         40960       0           0           .003566      NA          .138284           .147360             .147360            .215000              640           176
1.44          231                1                  0    2        256       0         1         0         3         0         0         40960       0           0           .001162      NA          .081793           .156691             .156690            .215000              401           127
1.45          232                1                  0    2        256       0         1         0         4         0         0         40960       0           0           .000825      NA          .076778           .131830             .131830            .190000              400           130
1.45          232                1                  0    2        256       0         1         0         5         0         0         40960       0           0           .001159      NA          .082504           .141484             .141484            .200000              481           129
1.43          231                1                  0    2        256       0         1         0         6         0         0         40960       0           0           .000464      NA          .040509           .050443             .050442            .110000              323           176
1.47          233                1                  0    4        256       0         1         0         1         0         0         40960       0           0           .001856      NA          .077351           .077748             .077747            .112500              638           381
1.42          233                1                  0    4        256       0         1         0         2         0         0         40960       0           0           .001804      NA          .068816           .092677             .092677            .127500              640           298
1.43          231                1                  0    4        256       0         1         0         3         0         0         40960       0           0           .000578      NA          .039560           .098319             .098319            .137500              401           190
1.42          232                1                  0    4        256       0         1         0         4         0         0         40960       0           0           .000412      NA          .038707           .083824             .083824            .125000              400           205
1.46          231                1                  0    4        256       0         1         0         5         0         0         40960       0           0           .000583      NA          .044159           .092160             .092160            .127500              481           218
1.43          230                1                  0    4        256       0         1         0         6         0         0         40960       0           0           .000232      NA          .019855           .038698             .038698            .070000              322           254
1.47          232                1                  0    6        256       0         1         0         1         0         0         40960       0           0           .001248      NA          .054983           .055101             .055101            .078333              638           563
1.46          232                1                  0    6        256       0         1         0         2         0         0         40960       0           0           .001194      NA          .048784           .075752             .075752            .101666              640           396
1.42          232                1                  0    6        256       0         1         0         3         0         0         40960       0           0           .000390      NA          .027742           .077084             .077084            .110000              401           250
1.44          232                1                  0    6        256       0         1         0         4         0         0         40960       0           0           .000277      NA          .026905           .069677             .069677            .101666              400           262
1.45          232                1                  0    6        256       0         1         0         5         0         0         40960       0           0           .000386      NA          .030991           .075725             .075725            .103333              481           284
1.41          231                1                  0    6        256       0         1         0         6         0         0         40960       0           0           .000153      NA          .013731           .029932             .029932            .053333              323           362
1.47          233                1                  0    8        256       0         1         0         1         0         0         40960       0           0           .000952      NA          .043309           .049382             .049382            .068750              638           665
1.46          233                1                  0    8        256       0         1         0         2         0         0         40960       0           0           .000921      NA          .037924           .063624             .063624            .086250              640           474
1.44          233                1                  0    8        256       0         1         0         3         0         0         40960       0           0           .000227      NA          .021729           .069796             .069796            .095000              401           295
1.45          232                1                  0    8        256       0         1         0         4         0         0         40960       0           0           .000236      NA          .020567           .060985             .060985            .092500              400           287
1.44          231                1                  0    8        256       0         1         0         5         0         0         40960       0           0           .000232      NA          .023897           .064268             .064267            .092500              481           317
1.44          232                1                  0    8        256       0         1         0         6         0         0         40960       0           0           .000116      NA          .010067           .028038             .028038            .046250              322           405
1.48          232                1                  0    10       256       0         1         0         1         0         0         40960       0           0           .000765      NA          .039913           .046102             .046102            .061000              638           858
1.45          233                1                  0    10       256       0         1         0         2         0         0         40960       0           0           .000743      NA          .031574           .058689             .058689            .080000              640           537
1.46          232                1                  0    10       256       0         1         0         3         0         0         40960       0           0           .000187      NA          .018076           .067701             .067701            .092000              401           309
1.46          231                1                  0    10       256       0         1         0         4         0         0         40960       0           0           .000196      NA          .017976           .058167             .058167            .085000              400           334
1.46          231                1                  0    10       256       0         1         0         5         0         0         40960       0           0           .000184      NA          .021049           .061243             .061243            .084000              481           375
1.43          230                1                  0    10       256       0         1         0         6         0         0         40960       0           0           .000094      NA          .008855           .026519             .026519            .043000              322           441
1.46          232                1                  0    12       256       0         1         0         1         0         0         40960       0           0           .000638      NA          .034291           .043482             .043482            .055833              638           950
1.46          231                1                  0    12       256       0         1         0         2         0         0         40960       0           0           .000616      NA          .028168           .056992             .056992            .076666              640           584
