program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;freqs(GHz);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
42;BINARY;semihonest;replicated-bin;3;245.09;5595;56;NA;NA;NA;262144;64;NA;NA;NA;258048;8;2.5;4096;0.141019;2.68;296;97;NA;0.520248;1.03652;4.8e-05;3;0.000222715;4.8e-05;3;0.000690117;NA;NA;NA;NA;NA;NA;0.5202;8;0.00734423;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.3;4096;0.140897;2.69;297;98;NA;0.520248;1.03652;4.8e-05;3;0.000271485;4.8e-05;3;0.000192179;NA;NA;NA;NA;NA;NA;0.5202;8;0.00817178;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.1;4096;0.147882;2.82;296;97;NA;0.520248;1.03652;4.8e-05;3;0.000283805;4.8e-05;3;0.000157438;NA;NA;NA;NA;NA;NA;0.5202;8;0.0108491;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;4096;0.150688;2.93;299;98;NA;0.520248;1.03652;4.8e-05;3;0.000246621;4.8e-05;3;0.00023211;NA;NA;NA;NA;NA;NA;0.5202;8;0.00513857;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.9;4096;0.158631;3.10;296;98;NA;0.520248;1.03652;4.8e-05;3;0.000336868;4.8e-05;3;0.000211504;NA;NA;NA;NA;NA;NA;0.5202;8;0.010916;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.8;4096;0.171939;3.28;296;97;NA;0.520248;1.03652;4.8e-05;3;0.000276268;4.8e-05;3;0.000516271;NA;NA;NA;NA;NA;NA;0.5202;8;0.0107937;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.7;4096;0.180639;3.46;297;98;NA;0.520248;1.03652;4.8e-05;3;0.000280546;4.8e-05;3;0.000884774;NA;NA;NA;NA;NA;NA;0.5202;8;0.0107569;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.6;4096;0.188517;3.71;297;98;NA;0.520248;1.03652;4.8e-05;3;0.000286995;4.8e-05;3;0.000724981;NA;NA;NA;NA;NA;NA;0.5202;8;0.0147342;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5;4096;0.202707;3.90;296;98;NA;0.520248;1.03652;4.8e-05;3;0.000322942;4.8e-05;3;0.00106112;NA;NA;NA;NA;NA;NA;0.5202;8;0.0115774;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4;4096;0.217565;4.19;297;97;NA;0.520248;1.03652;4.8e-05;3;0.000346275;4.8e-05;3;0.0012751;NA;NA;NA;NA;NA;NA;0.5202;8;0.0117334;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
