comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.44;227;1;8;1;0;1;4096;0;0;0.002168;NA;0.015871;0.015914;0.015913;0.03;5;78
1.46;227;1;8;1;0;2;4096;0;0;0.002346;NA;0.013630;0.013937;0.013937;0.02;6;95
1.41;226;1;8;1;0;3;4096;0;0;0.001131;NA;0.007471;0.011932;0.011932;0.01;5;66
1.41;225;1;8;1;0;4;4096;0;0;0.000930;NA;0.008199;0.010691;0.010690;0.01;5;81
1.40;226;1;8;1;0;5;4096;0;0;0.000527;NA;0.008758;0.011913;0.011912;0.01;5;81
1.41;226;1;8;1;0;6;4096;0;0;0.000564;NA;0.003410;0.004274;0.004273;0.01;6;90
1.49;229;1;64;1;0;1;4096;0;0;0.003530;NA;0.018717;0.016392;0.016391;0.03;19;109
1.47;228;1;64;1;0;2;4096;0;0;0.003474;NA;0.016716;0.017905;0.017904;0.03;21;94
1.44;226;1;64;1;0;3;4096;0;0;0.001293;NA;0.005910;0.015464;0.015464;0.04;15;40
1.41;226;1;64;1;0;4;4096;0;0;0.003358;NA;0.010635;0.015257;0.015256;0.04;15;72
1.44;226;1;64;1;0;5;4096;0;0;0.003403;NA;0.013615;0.017594;0.017593;0.04;17;74
1.43;226;1;64;1;0;6;4096;0;0;0.001792;NA;0.005213;0.006897;0.006896;0.02;15;76
