comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  bandwidths(Mbs)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.58          213                1                  0    1        512       2         1         0         1         0         0         1500             1000000     0           0           0.006967     NA          0.297463          0.463167            0.463166           0.48                 370           64
1.69          212                1                  0    1        512       2         1         0         1         0         0         300              1000000     0           0           0.006480     NA          0.274075          1.831422            1.831421           1.85                 370           15
1.66          212                1                  0    1        512       2         1         0         2         0         0         1500             1000000     0           0           0.006681     NA          0.107827          0.118287            0.118286           0.39                 248           35
1.80          211                1                  0    1        512       2         1         0         2         0         0         300              1000000     0           0           0.006611     NA          0.123452          0.129521            0.129520           1.77                 247           9
1.40          211                1                  0    1        512       2         1         0         3         0         0         1500             1000000     0           0           0.003488     NA          0.065320          0.064745            0.064744           0.11                 125           83
1.58          212                1                  0    1        512       2         1         0         3         0         0         300              1000000     0           0           0.003526     NA          0.061726          0.061349            0.061348           0.11                 125           85
1.57          211                1                  0    1        512       2         1         0         4         0         0         1500             1000000     0           0           0.005563     NA          0.097502          0.096931            0.096930           0.20                 186           78
1.55          212                1                  0    1        512       2         1         0         4         0         0         300              1000000     0           0           0.006110     NA          0.081795          0.081323            0.081322           0.18                 186           77
1.31          212                1                  0    1        512       2         1         0         5         0         0         1500             1000000     0           0           0.003927     NA          0.075377          0.074847            0.074846           0.14                 186           78
1.42          211                1                  0    1        512       2         1         0         5         0         0         300              1000000     0           0           0.003670     NA          0.075443          0.074888            0.074887           0.12                 186           90
1.41          212                1                  0    1        512       2         1         0         6         0         0         1500             1000000     0           0           0.000010     NA          0.017745          0.017278            0.017277           0.03                 64            67
1.31          211                1                  0    1        512       2         1         0         6         0         0         300              1000000     0           0           0.000009     NA          0.018273          0.017846            0.017845           0.03                 64            70
