program  c.domain  adv.model   protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  freqs(GHz)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.9         100              4096        0.18257              2.40                 296           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.9         80               4096        0.189405             2.35                 297           96         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.9         60               4096        0.205572             2.38                 298           94         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.9         40               4096        0.231648             2.44                 296           95         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.9         30               4096        0.280716             2.43                 297           93         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.8         600              4096        0.167944             2.44                 297           98         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.8         500              4096        0.181751             2.48                 298           96         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.8         400              4096        0.179298             2.54                 297           94         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.8         300              4096        0.181046             2.47                 297           96         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.8         200              4096        0.189136             2.46                 298           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.8         100              4096        0.192106             2.48                 299           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.8         80               4096        0.205031             2.50                 298           95         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.8         60               4096        0.218195             2.53                 299           94         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.8         40               4096        0.23679              2.51                 296           95         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.8         30               4096        0.281182             2.54                 297           93         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.7         600              4096        0.182125             2.65                 296           95         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.7         500              4096        0.19275              2.59                 297           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.7         400              4096        0.180752             2.60                 298           98         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.7         300              4096        0.184367             2.61                 299           96         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.7         200              4096        0.186535             2.62                 297           96         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.7         100              4096        0.209255             2.63                 297           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.7         80               4096        0.209706             2.62                 299           96         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.7         60               4096        0.232981             2.64                 297           96         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.7         40               4096        0.253311             2.69                 296           94         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.7         30               4096        0.307003             2.72                 296           93         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.6         600              4096        0.198553             2.81                 297           98         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.6         500              4096        0.190486             2.73                 296           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.6         400              4096        0.193029             2.74                 297           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.6         300              4096        0.20481              2.78                 298           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.6         200              4096        0.200763             2.77                 296           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.6         100              4096        0.218613             2.77                 297           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.6         80               4096        0.221035             2.81                 296           95         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.6         60               4096        0.234212             2.80                 296           95         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.6         40               4096        0.255851             2.85                 296           93         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.6         30               4096        0.31925              2.86                 296           93         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.5         600              4096        0.20441              2.95                 296           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.5         500              4096        0.203175             2.92                 296           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.5         400              4096        0.211117             2.92                 297           98         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.5         300              4096        0.2171               2.94                 296           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.5         200              4096        0.219503             2.93                 298           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.5         100              4096        0.227147             2.96                 299           96         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.5         80               4096        0.231394             2.95                 296           96         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.5         60               4096        0.252989             2.98                 297           95         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.5         40               4096        0.258667             3.00                 296           95         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.5         30               4096        0.327595             3.04                 298           93         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.4         600              4096        0.225942             3.13                 297           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.4         500              4096        0.211809             3.19                 298           98         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.4         400              4096        0.213437             3.12                 298           98         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.4         300              4096        0.215611             3.13                 298           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.4         200              4096        0.230069             3.15                 296           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.4         100              4096        0.231419             3.22                 296           95         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.4         80               4096        0.243762             3.22                 298           96         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.4         60               4096        0.254999             3.25                 296           96         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.4         40               4096        0.280782             3.20                 297           95         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.4         30               4096        0.343132             3.25                 298           94         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.3         600              4096        0.23275              3.35                 296           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.3         500              4096        0.24497              3.40                 296           96         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.3         400              4096        0.230828             3.37                 296           98         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.3         300              4096        0.231504             3.37                 298           98         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.3         200              4096        0.250764             3.38                 298           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.3         100              4096        0.266651             3.39                 297           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.3         80               4096        0.260196             3.39                 299           96         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.3         60               4096        0.274191             3.40                 298           96         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.3         40               4096        0.30538              3.44                 298           95         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.3         30               4096        0.323075             3.46                 296           94         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.2         600              4096        0.240979             3.64                 298           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.2         500              4096        0.259009             3.68                 297           96         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.2         400              4096        0.254304             3.67                 297           98         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.2         300              4096        0.250081             3.66                 299           96         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.2         200              4096        0.251208             3.64                 298           98         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.2         100              4096        0.283391             3.68                 296           96         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.2         80               4096        0.267793             3.64                 296           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.2         60               4096        0.293492             3.71                 299           97         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.2         40               4096        0.324719             3.69                 298           96         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.2         30               4096        0.336884             3.70                 296           95         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.1         600              4096        0.271208             4.27                 297           98         NA            0.520248        1.03652
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 1.1         500              4096        0.273108             3.94                 296           98         NA            0.520248        1.03652
