program  c.domain  adv.model   protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  freqs(GHz)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)   Tx(rounds)  Tx(s)        Rx(MB)   Rx(rounds)  Rx(s)        Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)  Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.3         400              4096        0.145909             2.02                 298           96         NA            0.520248        1.03652          4.8e-05  3           0.000183402  4.8e-05  3           0.000808554  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0152383   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.3         300              4096        0.150158             2.03                 296           97         NA            0.520248        1.03652          4.8e-05  3           0.000219749  4.8e-05  3           0.000607671  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0129044   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.3         200              4096        0.149089             2.03                 296           97         NA            0.520248        1.03652          4.8e-05  3           0.00018617   4.8e-05  3           0.000550659  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0218909   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.3         100              4096        0.171997             2.05                 298           96         NA            0.520248        1.03652          4.8e-05  3           0.000191536  4.8e-05  3           0.00057525   NA             NA                 NA            NA        NA            NA       0.5202       8                0.0374152   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.3         80               4096        0.173188             2.07                 298           94         NA            0.520248        1.03652          4.8e-05  3           0.000192984  4.8e-05  3           0.000739019  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0427305   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.3         60               4096        0.184447             2.09                 296           95         NA            0.520248        1.03652          4.8e-05  3           0.000193271  4.8e-05  3           0.000700698  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0528791   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.3         40               4096        0.219492             2.16                 298           91         NA            0.520248        1.03652          4.8e-05  3           0.000192157  4.8e-05  3           0.00032329   NA             NA                 NA            NA        NA            NA       0.5202       8                0.0855546   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.3         30               4096        0.265253             2.14                 297           91         NA            0.520248        1.03652          4.8e-05  3           0.000157154  4.8e-05  3           0.00111248   NA             NA                 NA            NA        NA            NA       0.5202       8                0.136178    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.1         600              4096        0.147006             2.11                 299           97         NA            0.520248        1.03652          4.8e-05  3           0.000202742  4.8e-05  3           0.00111109   NA             NA                 NA            NA        NA            NA       0.5202       8                0.00883459  NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.1         500              4096        0.1483               2.11                 296           97         NA            0.520248        1.03652          4.8e-05  3           0.000206868  4.8e-05  3           0.000883444  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0106976   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.1         400              4096        0.160975             2.12                 296           96         NA            0.520248        1.03652          4.8e-05  3           0.000231862  4.8e-05  3           0.00027496   NA             NA                 NA            NA        NA            NA       0.5202       8                0.016346    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.1         300              4096        0.152095             2.13                 298           97         NA            0.520248        1.03652          4.8e-05  3           0.000188391  4.8e-05  3           0.00122005   NA             NA                 NA            NA        NA            NA       0.5202       8                0.0130242   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.1         200              4096        0.167211             2.19                 296           94         NA            0.520248        1.03652          4.8e-05  3           0.000238169  4.8e-05  3           0.000254594  NA             NA                 NA            NA        NA            NA       0.5202       8                0.027205    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.1         100              4096        0.172516             2.18                 298           96         NA            0.520248        1.03652          4.8e-05  3           0.000205582  4.8e-05  3           0.000375837  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0346192   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.1         80               4096        0.180271             2.13                 296           96         NA            0.520248        1.03652          4.8e-05  3           0.000197909  4.8e-05  3           0.000481083  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0436526   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.1         60               4096        0.187316             2.15                 296           96         NA            0.520248        1.03652          4.8e-05  3           0.000196551  4.8e-05  3           0.000249264  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0486867   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.1         40               4096        0.225842             2.22                 296           94         NA            0.520248        1.03652          4.8e-05  3           0.000223889  4.8e-05  3           0.000936814  NA             NA                 NA            NA        NA            NA       0.5202       8                0.08947     NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.1         30               4096        0.261374             2.22                 296           92         NA            0.520248        1.03652          4.8e-05  3           0.000200789  4.8e-05  3           0.000341179  NA             NA                 NA            NA        NA            NA       0.5202       8                0.122443    NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2           600              4096        0.160221             2.28                 298           94         NA            0.520248        1.03652          4.8e-05  3           0.000199137  4.8e-05  3           0.00117983   NA             NA                 NA            NA        NA            NA       0.5202       8                0.0148704   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2           500              4096        0.160893             2.22                 298           97         NA            0.520248        1.03652          4.8e-05  3           0.000204665  4.8e-05  3           0.000620893  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0103953   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2           400              4096        0.160449             2.22                 298           96         NA            0.520248        1.03652          4.8e-05  3           0.000232676  4.8e-05  3           0.0013182    NA             NA                 NA            NA        NA            NA       0.5202       8                0.0159813   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2           300              4096        0.169817             2.23                 297           97         NA            0.520248        1.03652          4.8e-05  3           0.000201535  4.8e-05  3           0.00124863   NA             NA                 NA            NA        NA            NA       0.5202       8                0.0173276   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2           200              4096        0.172649             2.24                 299           96         NA            0.520248        1.03652          4.8e-05  3           0.000205932  4.8e-05  3           0.0012003    NA             NA                 NA            NA        NA            NA       0.5202       8                0.0229006   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
