comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;bandwidths(Mbs);input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.57;216;1;0;6;512;0;1;0;1;0;0;1500;81920;0;0;.004752;NA;.300478;1.763494;1.763494;1.943333;2543;118
1.66;217;1;0;6;512;0;1;0;1;0;0;1400;81920;0;0;.003958;NA;.303958;1.811701;1.811701;2.070000;2543;111
1.48;216;1;0;6;512;0;1;0;1;0;0;1300;81920;0;0;.003911;NA;.322309;1.955077;1.955077;2.205000;2543;108
1.53;217;1;0;6;512;0;1;0;1;0;0;1200;81920;0;0;.003515;NA;.308507;2.224147;2.224147;2.385000;2543;97
1.65;216;1;0;6;512;0;1;0;1;0;0;1100;81920;0;0;.004480;NA;.316986;2.202101;2.202100;2.598333;2543;91
1.49;218;1;0;6;512;0;1;0;1;0;0;1000;81920;0;0;.004472;NA;.318061;2.416630;2.416630;2.835000;2543;84
1.81;218;1;0;6;512;0;1;0;1;0;0;900;81920;0;0;.004218;NA;.321943;2.813333;2.813333;3.133333;2543;77
1.51;217;1;0;6;512;0;1;0;1;0;0;800;81920;0;0;.003540;NA;.331311;3.085605;3.085605;3.505000;2543;69
1.44;217;1;0;6;512;0;1;0;1;0;0;700;81920;0;0;.003938;NA;.357817;3.577707;3.577707;3.988333;2543;65
1.49;217;1;0;6;512;0;1;0;1;0;0;600;81920;0;0;.004462;NA;.357617;4.296095;4.296095;4.601666;2543;57
1.69;218;1;0;6;512;0;1;0;1;0;0;500;81920;0;0;.004200;NA;.366919;5.091299;5.091298;5.488333;2543;48
1.51;216;1;0;6;512;0;1;0;1;0;0;400;81920;0;0;.004467;NA;.356257;6.421863;6.421863;6.836666;2543;38
1.70;217;1;0;6;512;0;1;0;1;0;0;300;81920;0;0;.004473;NA;.458371;8.970632;8.970632;9.078333;2543;35
1.67;217;1;0;6;512;0;1;0;2;0;0;1500;81920;0;0;.007051;NA;.302659;2.352321;2.352321;2.920000;2553;79
1.65;217;1;0;6;512;0;1;0;2;0;0;1400;81920;0;0;.007175;NA;.334505;2.938452;2.938451;3.481666;2553;72
1.48;217;1;0;6;512;0;1;0;2;0;0;1300;81920;0;0;.007356;NA;.304945;2.766475;2.766474;3.448333;2553;68
1.48;217;1;0;6;512;0;1;0;2;0;0;1200;81920;0;0;.007055;NA;.341779;3.280206;3.280206;4.043333;2553;62
1.68;216;1;0;6;512;0;1;0;2;0;0;1100;81920;0;0;.007141;NA;.319481;3.274065;3.274065;4.070000;2553;59
1.39;217;1;0;6;512;0;1;0;2;0;0;1000;81920;0;0;.005387;NA;.293015;4.108972;4.108971;4.708333;2553;47
1.56;216;1;0;6;512;0;1;0;2;0;0;900;81920;0;0;.006215;NA;.296183;3.710980;3.710980;4.695000;2552;47
1.66;217;1;0;6;512;0;1;0;2;0;0;800;81920;0;0;.006574;NA;.326582;4.726685;4.726685;5.740000;2553;42
1.73;216;1;0;6;512;0;1;0;2;0;0;700;81920;0;0;.005798;NA;.338369;5.238937;5.238937;6.523333;2553;38
1.83;216;1;0;6;512;0;1;0;2;0;0;600;81920;0;0;.005437;NA;.324157;6.324121;6.324121;7.635000;2553;31
1.51;216;1;0;6;512;0;1;0;2;0;0;500;81920;0;0;.006334;NA;.326907;6.860402;6.860402;8.833333;2553;27
1.68;216;1;0;6;512;0;1;0;2;0;0;400;81920;0;0;.007589;NA;.374290;9.055322;9.055322;11.386666;2553;24
1.68;216;1;0;6;512;0;1;0;2;0;0;300;81920;0;0;.006666;NA;.428831;13.441886;13.441886;15.796666;2553;19
1.66;217;1;0;6;512;0;1;0;3;0;0;1500;81920;0;0;.004584;NA;.136073;2.869913;2.869913;3.693333;1598;34
1.74;216;1;0;6;512;0;1;0;3;0;0;1400;81920;0;0;.004369;NA;.131404;3.209081;3.209081;3.930000;1598;32
1.61;217;1;0;6;512;0;1;0;3;0;0;1300;81920;0;0;.004178;NA;.129633;3.529017;3.529017;4.233333;1598;29
1.47;215;1;0;6;512;0;1;0;3;0;0;1200;81920;0;0;.004557;NA;.136822;3.958476;3.958476;4.575000;1598;28
1.77;215;1;0;6;512;0;1;0;3;0;0;1100;81920;0;0;.004515;NA;.138813;3.925060;3.925060;4.996666;1598;26
1.64;216;1;0;6;512;0;1;0;3;0;0;1000;81920;0;0;.004368;NA;.135979;4.457470;4.457470;5.471666;1598;23
1.63;216;1;0;6;512;0;1;0;3;0;0;900;81920;0;0;.004509;NA;.137018;4.862598;4.862597;6.081666;1598;21
1.51;216;1;0;6;512;0;1;0;3;0;0;800;81920;0;0;.004443;NA;.135339;5.295805;5.295805;6.813333;1598;18
1.48;216;1;0;6;512;0;1;0;3;0;0;700;81920;0;0;.004887;NA;.138504;6.199754;6.199754;7.771666;1598;16
1.49;216;1;0;6;512;0;1;0;3;0;0;600;81920;0;0;.003795;NA;.137564;7.129389;7.129389;9.048333;1598;14
1.48;216;1;0;6;512;0;1;0;3;0;0;500;81920;0;0;.004914;NA;.142317;8.769095;8.769095;10.840000;1598;12
1.65;215;1;0;6;512;0;1;0;3;0;0;400;81920;0;0;.003290;NA;.159016;11.156785;11.156785;13.513333;1597;10
1.82;216;1;0;6;512;0;1;0;3;0;0;300;81920;0;0;.004739;NA;.161173;15.278805;15.278805;17.996666;1598;8
1.48;215;1;0;6;512;0;1;0;4;0;0;1500;81920;0;0;.004248;NA;.136118;2.856094;2.856094;3.676666;1593;35
1.63;216;1;0;6;512;0;1;0;4;0;0;1400;81920;0;0;.004010;NA;.136956;3.311378;3.311378;3.938333;1593;32
1.62;215;1;0;6;512;0;1;0;4;0;0;1300;81920;0;0;.004593;NA;.142285;3.385263;3.385262;4.241666;1593;31
1.48;215;1;0;6;512;0;1;0;4;0;0;1200;81920;0;0;.003860;NA;.137385;3.674110;3.674110;4.573333;1592;28
1.67;216;1;0;6;512;0;1;0;4;0;0;1100;81920;0;0;.003529;NA;.129093;3.951483;3.951483;4.963333;1593;24
1.51;215;1;0;6;512;0;1;0;4;0;0;1000;81920;0;0;.004242;NA;.136001;4.760194;4.760194;5.445000;1592;23
1.64;217;1;0;6;512;0;1;0;4;0;0;900;81920;0;0;.004289;NA;.137770;4.957582;4.957582;6.036666;1592;21
1.63;216;1;0;6;512;0;1;0;4;0;0;800;81920;0;0;.003815;NA;.135971;5.665978;5.665978;6.808333;1593;18
1.45;215;1;0;6;512;0;1;0;4;0;0;700;81920;0;0;.003807;NA;.136637;5.994832;5.994832;7.738333;1593;16
1.54;215;1;0;6;512;0;1;0;4;0;0;600;81920;0;0;.004256;NA;.141963;6.877786;6.877786;9.003333;1593;14
1.65;217;1;0;6;512;0;1;0;4;0;0;500;81920;0;0;.003713;NA;.152803;8.555367;8.555366;10.778333;1593;12
1.68;215;1;0;6;512;0;1;0;4;0;0;400;81920;0;0;.004592;NA;.143990;11.561938;11.561937;13.448333;1592;10
1.65;215;1;0;6;512;0;1;0;4;0;0;300;81920;0;0;.004260;NA;.180007;16.232369;16.232369;17.880000;1593;8
1.48;216;1;0;6;512;0;1;0;5;0;0;1500;81920;0;0;.004402;NA;.164606;2.830650;2.830650;3.686666;1918;39
1.65;217;1;0;6;512;0;1;0;5;0;0;1400;81920;0;0;.004402;NA;.165333;3.171995;3.171995;3.955000;1918;36
1.47;216;1;0;6;512;0;1;0;5;0;0;1300;81920;0;0;.004156;NA;.154469;3.712395;3.712395;4.250000;1918;32
1.50;216;1;0;6;512;0;1;0;5;0;0;1200;81920;0;0;.004634;NA;.168023;3.630916;3.630916;4.600000;1918;32
1.47;216;1;0;6;512;0;1;0;5;0;0;1100;81920;0;0;.004691;NA;.164842;3.970137;3.970137;4.986666;1918;29
1.47;215;1;0;6;512;0;1;0;5;0;0;1000;81920;0;0;.004302;NA;.166188;4.246970;4.246969;5.491666;1918;26
1.65;216;1;0;6;512;0;1;0;5;0;0;900;81920;0;0;.004826;NA;.172464;4.900233;4.900233;6.093333;1918;25
1.63;215;1;0;6;512;0;1;0;5;0;0;800;81920;0;0;.003657;NA;.168664;5.485486;5.485486;6.828333;1917;21
1.49;216;1;0;6;512;0;1;0;5;0;0;700;81920;0;0;.004422;NA;.168333;6.263612;6.263612;7.780000;1918;18
1.65;216;1;0;6;512;0;1;0;5;0;0;600;81920;0;0;.003808;NA;.159003;7.000762;7.000762;9.055000;1918;15
1.48;215;1;0;6;512;0;1;0;5;0;0;500;81920;0;0;.004721;NA;.175018;9.235941;9.235940;10.848333;1918;14
1.47;216;1;0;6;512;0;1;0;5;0;0;400;81920;0;0;.004860;NA;.190276;11.525927;11.525927;13.543333;1918;12
1.53;215;1;0;6;512;0;1;0;5;0;0;300;81920;0;0;.004888;NA;.190403;15.717352;15.717352;18.010000;1918;9
1.47;216;1;0;6;512;0;1;0;6;0;0;1500;81920;0;0;.002270;NA;.080169;1.540955;1.540955;1.933333;1283;48
1.47;215;1;0;6;512;0;1;0;6;0;0;1400;81920;0;0;.002112;NA;.082208;1.573370;1.573370;2.063333;1282;46
1.63;216;1;0;6;512;0;1;0;6;0;0;1300;81920;0;0;.002294;NA;.078077;1.779302;1.779302;2.208333;1282;42
1.47;215;1;0;6;512;0;1;0;6;0;0;1200;81920;0;0;.002485;NA;.082805;1.851882;1.851882;2.385000;1283;40
1.49;216;1;0;6;512;0;1;0;6;0;0;1100;81920;0;0;.002151;NA;.081342;2.008604;2.008604;2.591666;1283;36
1.57;216;1;0;6;512;0;1;0;6;0;0;1000;81920;0;0;.002604;NA;.084743;2.319969;2.319969;2.843333;1283;35
1.47;216;1;0;6;512;0;1;0;6;0;0;900;81920;0;0;.002400;NA;.081098;2.487615;2.487615;3.133333;1282;30
1.46;215;1;0;6;512;0;1;0;6;0;0;800;81920;0;0;.002409;NA;.083532;2.896878;2.896878;3.516666;1283;27
1.62;215;1;0;6;512;0;1;0;6;0;0;700;81920;0;0;.001975;NA;.083598;3.066092;3.066092;3.998333;1282;24
1.48;215;1;0;6;512;0;1;0;6;0;0;600;81920;0;0;.002240;NA;.085409;3.695205;3.695205;4.643333;1283;20
1.46;216;1;0;6;512;0;1;0;6;0;0;500;81920;0;0;.002308;NA;.085163;4.308244;4.308244;5.538333;1283;17
1.63;215;1;0;6;512;0;1;0;6;0;0;400;81920;0;0;.002566;NA;.090990;5.622364;5.622364;6.891666;1283;14
1.48;215;1;0;6;512;0;1;0;6;0;0;300;81920;0;0;.002079;NA;.090931;8.470289;8.470289;9.135000;1283;10
