nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;cpus;freqs(GHz);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
dogecoin,dogecoincash,dogecoingold;34_matrix_mul;BINARY;semidishonest;yao;NA;53544;929;8;3;2;0.0404645;11;NA;1.71366;NA
dogecoin,dogecoincash,dogecoingold;34_matrix_mul;BINARY;semidishonest;yao;NA;120474;2089;8;3;3;0.0730435;12;NA;3.85574;NA
dogecoin,dogecoincash,dogecoingold;34_matrix_mul;BINARY;semidishonest;yao;NA;214176;3713;8;3;4;0.119255;12;NA;6.85466;NA
dogecoin,dogecoincash,dogecoingold;34_matrix_mul;BINARY;semidishonest;yao;NA;334650;5801;8;3;5;0.180902;12;NA;10.7104;NA
dogecoin,dogecoincash,dogecoingold;34_matrix_mul;BINARY;semidishonest;yao;NA;481896;8353;8;3;6;0.248644;13;NA;15.423;NA
dogecoin,dogecoincash,dogecoingold;34_matrix_mul;BINARY;semidishonest;yao;NA;655914;11369;8;3;7;0.336219;13;NA;20.9924;NA
dogecoin,dogecoincash,dogecoingold;34_matrix_mul;BINARY;semidishonest;yao;NA;856704;14849;8;3;8;0.433872;14;NA;27.4186;NA
dogecoin,dogecoincash,dogecoingold;34_matrix_mul;BINARY;semidishonest;yao;NA;1084266;18793;8;3;9;0.54303;14;NA;34.7017;NA
dogecoin,dogecoincash,dogecoingold;34_matrix_mul;BINARY;semidishonest;yao;NA;1338600;23201;8;3;10;0.670223;13;NA;42.8416;NA
dogecoin,dogecoincash,dogecoingold;34_matrix_mul;BINARY;semidishonest;yao;NA;1619706;28073;8;3;11;0.807434;16;NA;51.8383;NA
dogecoin,dogecoincash,dogecoingold;34_matrix_mul;BINARY;semidishonest;yao;NA;1927584;33409;8;3;12;0.957809;16;NA;61.6919;NA
dogecoin,dogecoincash,dogecoingold;34_matrix_mul;BINARY;semidishonest;yao;NA;NA;NA;8;2.2;2;0.0392141;13;NA;1.71366;NA
