nodes;program;c.domain;adv.model;protocol;partysize;comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
ether,ethercash,ethergold;35_set_intersection;FIELD;semihonest;atlas;3;25;25;25;NA;NA;NA;NA;75;NA;101;5;0.0856041;NA;~214;1.65658;3.52853;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;35_set_intersection;FIELD;semihonest;atlas;3;36;36;36;NA;NA;NA;NA;108;NA;145;6;0.0904962;NA;~302;1.65798;3.53222;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;35_set_intersection;FIELD;semihonest;atlas;3;49;49;49;NA;NA;NA;NA;147;NA;197;7;0.935435;NA;~406;1.65965;3.53659;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;35_set_intersection;FIELD;semihonest;shamir;3;25;25;25;NA;NA;NA;NA;75;NA;101;5;0.0164071;NA;~126;0.004;0.0108;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;35_set_intersection;FIELD;semihonest;shamir;3;36;36;36;NA;NA;NA;NA;108;NA;145;6;0.0212361;NA;~181;0.00576;0.015552;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;35_set_intersection;FIELD;semihonest;shamir;3;49;49;49;NA;NA;NA;NA;147;NA;197;7;0.0318326;NA;~246;0.00784;0.021168;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;35_set_intersection;BINARY;semihonest;ccd;3;NA;NA;NA;1600;1600;1600;NA;NA;334650;5801;5;0.498996;NA;NA;0.6741;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6725;2401;0.372614;NA;NA;NA;0.0016;25;0.00300293;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;35_set_intersection;BINARY;semihonest;ccd;3;NA;NA;NA;2304;2304;2304;NA;NA;481896;8353;6;0.718973;NA;NA;0.970704;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.9684;3457;0.545258;NA;NA;NA;0.002304;36;0.00474322;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;35_set_intersection;BINARY;semihonest;ccd;3;NA;NA;NA;3136;3136;3136;NA;NA;655914;11369;7;1.02311;NA;NA;1.32124;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3181;4705;0.74927;NA;NA;NA;0.003136;49;0.00665417;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;35_set_intersection;BINARY;semidishonest;yao;2;NA;NA;NA;1600;1600;1600;NA;NA;334650;5801;5;0.210727;NA;NA;10.7104;NA;10.7104;52;0.01815;0.0002;25;0.31412;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;35_set_intersection;BINARY;semidishonest;yao;2;NA;NA;NA;2304;2304;2304;NA;NA;481896;8353;6;0.265186;NA;NA;15.423;NA;15.423;74;0.0171409;0.000288;36;0.424674;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ether,ethercash,ethergold;35_set_intersection;BINARY;semidishonest;yao;2;NA;NA;NA;3136;3136;3136;NA;NA;655914;11369;7;0.461694;NA;NA;20.9924;NA;20.9924;100;0.0207063;0.000392;49;0.737229;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
