nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;input_size;runtime(s);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
ether,ethercash,ethergold;36_array_ops;FIELD;semihonest;shamir;NA;NA;2;16;0.0015522;~3;0.001024;0.002304
ether,ethercash,ethergold;36_array_ops;FIELD;semihonest;shamir;NA;NA;2;36;0.00226234;~3;0.002304;0.005184
ether,ethercash,ethergold;36_array_ops;FIELD;semihonest;shamir;NA;NA;2;56;0.00182446;~3;0.003584;0.008064
ether,ethercash,ethergold;36_array_ops;FIELD;semihonest;shamir;NA;NA;2;76;0.00168325;~3;0.004864;0.010944
ether,ethercash,ethergold;36_array_ops;FIELD;semihonest;shamir;NA;NA;2;96;0.00273462;~3;0.006144;0.013824
ether,ethercash,ethergold;36_array_ops;FIELD;semihonest;shamir;NA;NA;2;100;0.00208812;~3;0.0064;0.0144
ether,ethercash,ethergold;36_array_ops;FIELD;semihonest;replicated-field;NA;NA;2;16;0.00159986;~2;0.000512;0.001536
ether,ethercash,ethergold;36_array_ops;FIELD;semihonest;replicated-field;NA;NA;2;36;0.00114993;~2;0.001152;0.003456
ether,ethercash,ethergold;36_array_ops;FIELD;semihonest;replicated-field;NA;NA;2;56;0.00123996;~2;0.001792;0.005376
ether,ethercash,ethergold;36_array_ops;FIELD;semihonest;replicated-field;NA;NA;2;76;0.00130754;~2;0.002432;0.007296
ether,ethercash,ethergold;36_array_ops;FIELD;semihonest;replicated-field;NA;NA;2;96;0.00184019;~2;0.003072;0.009216
ether,ethercash,ethergold;36_array_ops;FIELD;semihonest;replicated-field;NA;NA;2;100;0.00203133;~2;0.0032;0.0096
ether,ethercash,ethergold;36_array_ops;RING;semihonest;replicated-ring;NA;NA;2;16;0.00155865;~2;0.000256;0.000768
ether,ethercash,ethergold;36_array_ops;RING;semihonest;replicated-ring;NA;NA;2;36;0.0018106;~2;0.000576;0.001728
ether,ethercash,ethergold;36_array_ops;RING;semihonest;replicated-ring;NA;NA;2;56;0.00135704;~2;0.000896;0.002688
ether,ethercash,ethergold;36_array_ops;RING;semihonest;replicated-ring;NA;NA;2;76;0.00128614;~2;0.001216;0.003648
ether,ethercash,ethergold;36_array_ops;RING;semihonest;replicated-ring;NA;NA;2;96;0.00162912;~2;0.001536;0.004608
ether,ethercash,ethergold;36_array_ops;RING;semihonest;replicated-ring;NA;NA;2;100;0.00139099;~2;0.0016;0.0048
ether,ethercash,ethergold;36_array_ops;BINARY;semihonest;replicated-bin;NA;9408;124;16;0.0145525;NA;0.010608;NA
ether,ethercash,ethergold;36_array_ops;BINARY;semihonest;replicated-bin;NA;21168;124;36;0.0207025;NA;0.023808;NA
ether,ethercash,ethergold;36_array_ops;BINARY;semihonest;replicated-bin;NA;32928;124;56;0.0240148;NA;0.037008;NA
ether,ethercash,ethergold;36_array_ops;BINARY;semihonest;replicated-bin;NA;44688;124;76;0.0293007;NA;0.050208;NA
ether,ethercash,ethergold;36_array_ops;BINARY;semihonest;replicated-bin;NA;56448;124;96;0.0353507;NA;0.063408;NA
ether,ethercash,ethergold;36_array_ops;BINARY;semihonest;replicated-bin;NA;58800;124;100;0.032005;NA;0.066048;NA
