nodes;program;c.domain;adv.model;protocol;partysize;freqs(GHz);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.3;210;30.0532;NA;NA;195.916;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.3;220;34.0892;NA;NA;214.305;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.3;230;35.8426;NA;NA;234.336;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.3;240;38.9833;NA;NA;255.18;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.3;250;42.4285;NA;NA;276.837;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.3;260;47.27;NA;NA;299.307;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.3;270;49.9262;NA;NA;322.589;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.3;280;55.0019;NA;NA;346.684;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.3;290;57.1375;NA;NA;371.592;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.3;300;60.7945;NA;NA;397.313;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.2;210;31.2879;NA;NA;195.916;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.2;220;33.9035;NA;NA;214.305;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.2;230;35.7708;NA;NA;234.336;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.2;240;39.8569;NA;NA;255.18;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.2;250;42.8246;NA;NA;276.837;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.2;260;46.6223;NA;NA;299.307;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.2;270;49.0938;NA;NA;322.589;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.2;280;53.7911;NA;NA;346.684;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.2;290;59.1533;NA;NA;371.592;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.2;300;59.7816;NA;NA;397.313;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;2.1;210;33.6691;NA;NA;195.916;NA
